approach_name,dataset_name,sensitive_name,classifier_name,tot_inputs,disc_inputs,disc_rate,total_generated,duplicates,duplication_rate,elapsed_time,time_to_1000_disc,egs,inference_count
AEQUITAS,bank,age,DecisionTreeClassifier,11970.0,3707.0,32.18,1038300.0,1026330.0,98.85,168.43,46.47,22.36,
AEQUITAS,bank,age,RandomForestClassifier,9871.0,3879.0,40.19,1046876.0,1037005.0,99.06,3566.01,1187.93,1.12,
AEQUITAS,bank,age,SVC,9121.0,957.0,8.83,407962.0,398841.0,97.51,705.48,484.99,1.21,
AEQUITAS,bank,age,Sequential,9039.0,2534.0,28.03,759285.0,750246.0,98.81,6692.19,2514.27,0.38,
AEQUITAS,bank,marital,DecisionTreeClassifier,11526.0,3702.0,32.31,1039714.0,1028188.0,98.89,79.74,28.24,47.48,
AEQUITAS,bank,marital,RandomForestClassifier,16232.0,3150.0,19.49,1032571.0,1016339.0,98.43,2652.13,805.4,1.2,
AEQUITAS,bank,marital,SVC,2913.0,85.0,2.2,78418.0,75505.0,95.91,79.06,,0.89,
AEQUITAS,bank,marital,Sequential,5934.0,493.0,8.31,252162.0,246228.0,97.65,1865.05,,0.26,
AEQUITAS,census,age,DecisionTreeClassifier,7364.0,5270.0,72.12,1084153.0,1076789.0,99.32,60.88,17.14,89.3,
AEQUITAS,census,age,RandomForestClassifier,8484.0,5040.0,61.42,1060921.0,1052437.0,99.2,1605.63,574.86,3.6,
AEQUITAS,census,age,SVC,10424.0,1740.0,14.38,489428.0,479004.0,97.71,693.57,388.64,2.28,
AEQUITAS,census,age,Sequential,6059.0,886.0,14.62,279422.0,273363.0,97.83,4010.66,,0.22,
AEQUITAS,census,race,DecisionTreeClassifier,3133.0,126.0,3.16,74377.0,71245.0,95.87,24.32,,4.23,
AEQUITAS,census,race,RandomForestClassifier,6039.0,200.0,2.99,137037.0,130998.0,95.53,1419.06,,0.13,
AEQUITAS,census,race,SVC,2704.0,32.0,1.06,50316.0,47612.0,94.67,131.99,,0.26,
AEQUITAS,census,race,Sequential,2890.0,209.0,7.23,96689.0,93799.0,97.01,1235.76,,0.17,
AEQUITAS,census,sex,DecisionTreeClassifier,6596.0,477.0,10.04,199202.0,192606.0,96.99,27.54,,17.88,
AEQUITAS,census,sex,RandomForestClassifier,7918.0,627.0,6.46,244972.0,237054.0,96.72,711.74,899.88,0.73,
AEQUITAS,census,sex,SVC,1474.0,8.0,0.38,24813.0,23338.0,94.08,28.28,,0.24,
AEQUITAS,census,sex,Sequential,2078.0,54.0,2.6,53605.0,51527.0,96.12,383.6,,0.14,
AEQUITAS,compas,age,DecisionTreeClassifier,16689.0,5574.0,33.43,1032612.0,1015923.0,98.38,157.32,29.28,35.99,
AEQUITAS,compas,age,RandomForestClassifier,40840.0,2870.0,6.94,896503.0,855663.0,95.4,12740.66,5227.38,0.22,
AEQUITAS,compas,age,SVC,20509.0,3820.0,18.36,934699.0,914190.0,97.78,712.69,245.72,5.43,
AEQUITAS,compas,age,Sequential,13971.0,1906.0,13.64,530116.0,516145.0,97.36,7582.2,3888.75,0.25,
AEQUITAS,compas,race,DecisionTreeClassifier,10326.0,5362.0,52.64,1026102.0,1015776.0,98.99,71.46,12.99,76.31,
AEQUITAS,compas,race,RandomForestClassifier,22734.0,4338.0,18.89,940854.0,918119.0,97.51,4370.71,1867.36,1.0,
AEQUITAS,compas,race,SVC,32290.0,3032.0,9.6,962502.0,930211.0,96.67,815.18,276.07,3.82,
AEQUITAS,compas,race,Sequential,17070.0,144.0,0.84,241761.0,224691.0,92.94,5413.2,,0.03,
AEQUITAS,compas,sex,DecisionTreeClassifier,34282.0,2739.0,6.71,847905.0,813622.0,96.3,110.67,48.08,20.83,
AEQUITAS,compas,sex,RandomForestClassifier,21948.0,460.0,2.02,352049.0,330102.0,93.85,1649.85,,0.26,
AEQUITAS,compas,sex,SVC,5460.0,29.0,0.45,70059.0,64599.0,91.91,43.49,,0.59,
AEQUITAS,compas,sex,Sequential,13845.0,79.0,0.57,190989.0,177144.0,92.75,1498.29,,0.05,
AEQUITAS,credit,age,DecisionTreeClassifier,10841.0,1590.0,14.46,758492.0,747651.0,98.58,211.68,143.2,6.81,
AEQUITAS,credit,age,RandomForestClassifier,9833.0,2385.0,24.03,944586.0,934753.0,98.95,5725.88,2468.23,0.44,
AEQUITAS,credit,age,SVC,3751.0,305.0,7.87,191750.0,187999.0,98.05,113.71,,2.61,
AEQUITAS,credit,age,Sequential,8104.0,1399.0,17.26,642311.0,634207.0,98.74,7601.51,5743.84,0.18,
AEQUITAS,credit,sex,DecisionTreeClassifier,2295.0,248.0,7.08,133809.0,131514.0,98.27,15.41,,11.43,
AEQUITAS,credit,sex,RandomForestClassifier,16291.0,1195.0,7.57,807950.0,791659.0,98.03,2619.96,2186.06,0.44,
AEQUITAS,credit,sex,SVC,1012.0,1.0,0.06,27300.0,26288.0,96.38,8.8,,0.08,
AEQUITAS,credit,sex,Sequential,9248.0,540.0,5.89,440578.0,431330.0,97.91,2483.7,,0.22,
AEQUITAS,meps,sex,DecisionTreeClassifier,11993.0,1092.0,10.05,890816.0,878823.0,98.61,107.05,92.8,10.4,
AEQUITAS,meps,sex,RandomForestClassifier,11937.0,1450.0,12.13,1055263.0,1043327.0,98.87,2465.36,1623.22,0.6,
AEQUITAS,meps,sex,SVC,7368.0,244.0,2.71,475737.0,468368.0,98.5,234.93,,0.88,
AEQUITAS,meps,sex,Sequential,9098.0,982.0,10.79,1054371.0,1045273.0,99.14,4659.33,,0.21,
