dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
bank,age,DecisionTreeClassifier,"11,970","524,228","939,731","18,079","15,375","3,707","401,922","815,000","13,069","6,690",32.18,76.67,86.73,72.31,43.47,1038300,1000006,1000200,19385,15375,1026330,475777,60469,1306,0,98.85,47.58,6.05,6.72,0,168.43,1003.76,446.7,3300.1,3306.85,46.47,4.21,0.91,235.03,621.83,22.36,412.01,1828.46,3.96,2.02,,,5224083.5,,
bank,marital,DecisionTreeClassifier,"11,526","523,203","948,318","20,077","14,275","3,702","392,747","844,354","10,684","4,680",32.31,75.07,89.04,53.2,32.79,1039714,1000049,1000200,21126,14275,1028188,476846,51882,1049,0,98.89,47.68,5.19,4.95,0,79.74,325.76,229.14,3300.09,3304.8,28.24,3.45,0.46,306.13,744.87,47.48,1214.95,3684.98,3.24,1.42,,,2390008.25,,
census,age,DecisionTreeClassifier,"7,364","563,951","974,630","12,583","27,975","5,270","526,596","947,645","9,821","20,576",72.12,93.38,97.23,78.03,73.54,1084153,1000003,1000200,29335,27975,1076789,436052,25570,16752,0,99.32,43.61,2.56,57.41,0,60.88,695.1,229.66,3300.13,3302.96,17.14,2.77,0.37,964.9,56.6,89.3,773.6,4127.47,2.98,6.23,,,2415716,,
census,race,DecisionTreeClassifier,"3,133","548,545","962,674","22,624","20,024",126,"335,598","755,284","6,561","3,110",3.16,61.18,78.46,29.12,15.34,74377,1000051,1000200,28892,20025,71245,451506,37526,6268,0,95.87,45.15,3.75,21.26,0,24.32,569.11,339.71,3300.13,3302.01,,9.28,1.35,1581.56,1118.58,4.23,601.23,2229.3,1.99,0.94,,,3850027.75,,
census,sex,DecisionTreeClassifier,"6,596","556,196","966,522","22,700","19,249",477,"383,433","819,238","6,502","6,376",10.04,68.94,84.76,28.14,33.06,199202,1000083,1000200,29130,19250,192606,443887,33678,6430,1,96.99,44.39,3.37,20.81,0.01,27.54,199.8,196.09,3300.09,3311.93,,3.48,0.54,1894.08,477.32,17.88,1919.29,4178.51,1.97,1.93,,,2000400,,
compas,age,DecisionTreeClassifier,"16,689","520,851","868,621","15,637","37,325","5,574","447,542","784,371","8,516","29,748",33.43,85.93,90.3,54.47,79.69,1032612,1000008,1000200,27234,37325,1015923,479157,131579,11598,0,98.38,47.92,13.16,42.52,0,157.32,855.05,386.62,3300.07,3302.05,29.28,3.53,0.62,262.64,69.83,35.99,538.82,2042.12,2.58,9.01,,,4440865,,
compas,race,DecisionTreeClassifier,"10,326","523,512","869,234","16,054","39,225","5,362","470,947","828,600","11,512","32,016",52.64,89.96,95.33,71.64,81.63,1026102,1000067,1000200,26325,39225,1015776,476555,130966,10271,0,98.99,47.65,13.09,39.18,0,71.46,657.81,314.45,3300.13,3300.38,12.99,2.79,0.45,194.84,64.73,76.31,734.12,2636.48,3.49,9.7,,,3470317.75,,
compas,sex,DecisionTreeClassifier,"34,282","514,129","866,358","19,720","33,200","2,739","413,020","761,043","7,572","25,580",6.71,80.33,87.85,38.39,77.05,847905,1000129,1000200,27296,33200,813622,486000,133842,7576,0,96.3,48.59,13.38,27.72,0,110.67,201.69,197.38,3300.14,3302.94,48.08,5.91,0.43,321.96,63.21,20.83,2047.79,3855.83,2.29,7.74,,,2000400,,
credit,age,DecisionTreeClassifier,"10,841","564,014","863,452","34,410","44,825","1,590","509,136","779,482","12,732","33,160",14.46,90.27,90.28,36.98,73.78,758492,1000049,1000200,39354,44825,747651,436035,136748,4944,0,98.58,43.6,13.67,12.52,0,211.68,875.74,468.03,3300.09,3301.96,143.2,3.86,0.94,232.15,65.14,6.81,594.29,1674.68,3.86,10.04,,,5441173.75,,
credit,sex,DecisionTreeClassifier,"2,295","578,861","837,481","37,236","33,725",248,"414,060","690,889","12,573","18,982",7.08,71.49,82.49,33.78,56.29,133809,1000147,1000200,40799,33725,131514,421286,162719,3563,0,98.27,42.12,16.27,8.7,0,15.41,205.17,198.32,3300.06,3302.03,,4.13,0.82,247.52,148.56,11.43,2017.98,3483.79,3.81,5.75,,,2000400,,
