approach_name,dataset_name,sensitive_name,classifier_name,tot_inputs,disc_inputs,disc_rate,total_generated,duplicates,duplication_rate,elapsed_time,time_to_1000_disc,egs,inference_count
ExpGA,bank,age,DecisionTreeClassifier,524228.0,401922.0,76.67,1000006.0,475777.0,47.58,1003.76,4.21,412.01,
ExpGA,bank,age,RandomForestClassifier,54734.0,42416.0,77.45,103943.0,49209.0,47.36,3301.67,109.69,12.85,
ExpGA,bank,age,SVC,336515.0,199527.0,59.07,665142.0,328627.0,49.42,3276.56,292.48,61.17,
ExpGA,bank,age,Sequential,21098.0,12212.0,63.27,80467.0,59368.0,81.85,3305.4,695.11,3.7,
ExpGA,bank,marital,DecisionTreeClassifier,523203.0,392747.0,75.07,1000049.0,476846.0,47.68,325.76,3.45,1214.95,
ExpGA,bank,marital,RandomForestClassifier,177835.0,109253.0,61.39,342708.0,164872.0,48.1,3300.91,63.99,33.1,
ExpGA,bank,marital,SVC,477343.0,163493.0,34.06,1000036.0,522693.0,52.27,1934.65,579.01,85.78,
ExpGA,bank,marital,Sequential,51501.0,17552.0,31.98,289611.0,238110.0,85.83,3301.66,1032.16,5.32,
ExpGA,census,age,DecisionTreeClassifier,563951.0,526596.0,93.38,1000003.0,436052.0,43.61,695.1,2.77,773.6,
ExpGA,census,age,RandomForestClassifier,81316.0,70420.0,86.56,144102.0,62786.0,43.57,3302.75,71.7,21.32,
ExpGA,census,age,SVC,269828.0,141487.0,52.28,482301.0,212473.0,44.05,3300.92,568.13,42.86,
ExpGA,census,age,Sequential,26390.0,17774.0,74.79,82733.0,56343.0,76.7,3305.98,310.92,5.38,
ExpGA,census,race,DecisionTreeClassifier,548545.0,335598.0,61.18,1000051.0,451506.0,45.15,569.11,9.28,601.23,
ExpGA,census,race,RandomForestClassifier,98424.0,40892.0,41.38,181920.0,83496.0,45.9,3300.61,173.97,12.39,
ExpGA,census,race,SVC,202347.0,23230.0,11.48,456628.0,254280.0,55.7,3300.11,1850.65,7.04,
ExpGA,census,race,Sequential,30634.0,7736.0,21.3,155955.0,125321.0,85.61,3300.36,2144.1,2.34,
ExpGA,census,sex,DecisionTreeClassifier,556196.0,383433.0,68.94,1000083.0,443887.0,44.39,199.8,3.48,1919.29,
ExpGA,census,sex,RandomForestClassifier,340998.0,182252.0,53.45,608377.0,267378.0,43.95,3300.84,43.56,55.21,
ExpGA,census,sex,SVC,413642.0,27951.0,6.47,1000100.0,586458.0,58.64,2383.62,1491.21,11.73,
ExpGA,census,sex,Sequential,81827.0,14134.0,16.55,527975.0,446148.0,85.21,3300.6,1033.9,4.28,
ExpGA,compas,age,DecisionTreeClassifier,520851.0,447542.0,85.93,1000008.0,479157.0,47.92,855.05,3.53,538.82,
ExpGA,compas,age,RandomForestClassifier,54766.0,34745.0,63.18,108159.0,53393.0,49.31,3303.52,176.96,10.52,
ExpGA,compas,age,SVC,518472.0,335566.0,64.71,998267.0,479796.0,48.06,3012.0,142.99,115.66,
ExpGA,compas,age,Sequential,23246.0,16022.0,75.49,81267.0,58021.0,78.92,3304.09,308.25,4.85,
ExpGA,compas,race,DecisionTreeClassifier,523512.0,470947.0,89.96,1000067.0,476555.0,47.65,657.81,2.79,734.12,
ExpGA,compas,race,RandomForestClassifier,93009.0,72346.0,77.77,179770.0,86761.0,48.26,3301.88,70.69,21.91,
ExpGA,compas,race,SVC,508169.0,281131.0,55.32,1000107.0,491938.0,49.19,2033.72,181.74,141.79,
ExpGA,compas,race,Sequential,27351.0,12118.0,38.79,129577.0,102226.0,85.29,3304.03,1201.55,3.67,
ExpGA,compas,sex,DecisionTreeClassifier,514129.0,413020.0,80.33,1000129.0,486000.0,48.59,201.69,5.91,2047.79,
ExpGA,compas,sex,RandomForestClassifier,304501.0,155288.0,51.0,607487.0,302986.0,49.88,3300.65,74.22,47.05,
ExpGA,compas,sex,SVC,238213.0,17072.0,5.9,1000081.0,761868.0,76.18,808.15,477.22,20.86,
ExpGA,compas,sex,Sequential,77478.0,28703.0,37.77,527576.0,450098.0,85.87,3300.44,621.26,8.7,
ExpGA,credit,age,DecisionTreeClassifier,564014.0,509136.0,90.27,1000049.0,436035.0,43.6,875.74,3.86,594.29,
ExpGA,credit,age,RandomForestClassifier,65860.0,39246.0,58.47,117553.0,51694.0,43.98,3302.54,152.62,11.88,
ExpGA,credit,age,SVC,550255.0,347596.0,63.16,1000066.0,449811.0,44.98,1263.57,25.65,284.62,
ExpGA,credit,age,Sequential,29994.0,21066.0,76.91,92204.0,62209.0,75.22,3303.73,265.42,6.38,
ExpGA,credit,sex,DecisionTreeClassifier,578861.0,414060.0,71.49,1000147.0,421286.0,42.12,205.17,4.13,2017.98,
ExpGA,credit,sex,RandomForestClassifier,335069.0,148610.0,44.35,608671.0,273602.0,44.95,3300.73,44.61,45.02,
ExpGA,credit,sex,SVC,361694.0,17122.0,4.68,1000144.0,638450.0,63.84,286.69,43.45,59.72,
ExpGA,credit,sex,Sequential,83720.0,28968.0,32.7,527266.0,443546.0,84.72,3300.54,217.89,8.78,
ExpGA,meps,sex,DecisionTreeClassifier,766181.0,622996.0,81.31,1000019.0,233838.0,23.38,226.9,3.26,2745.83,
ExpGA,meps,sex,RandomForestClassifier,464819.0,206664.0,44.46,607228.0,142410.0,23.45,3301.11,32.41,62.6,
ExpGA,meps,sex,SVC,760314.0,94256.0,12.4,1000077.0,239763.0,23.97,1474.63,875.06,63.92,
ExpGA,meps,sex,Sequential,188872.0,131608.0,77.58,522400.0,333528.0,64.54,3301.22,37.94,39.86,
