approach_name,dataset_name,sensitive_name,classifier_name,tot_inputs,disc_inputs,disc_rate,total_generated,duplicates,duplication_rate,elapsed_time,time_to_1000_disc,egs,inference_count
FairPES,bank,age,DecisionTreeClassifier,939731.0,815000.0,86.73,1000200.0,60469.0,6.05,446.7,0.91,1828.46,5224083.5
FairPES,bank,age,RandomForestClassifier,216648.0,184806.0,85.31,228100.0,11452.0,5.02,3302.87,29.34,55.95,1205950.5
FairPES,bank,age,SVC,957967.0,511362.0,53.38,1000200.0,42233.0,4.22,2418.04,12.16,211.61,6648513.0
FairPES,bank,age,Sequential,169880.0,111806.0,65.71,180300.0,10420.0,5.78,3304.21,81.81,33.84,1106385.25
FairPES,bank,marital,DecisionTreeClassifier,948318.0,844354.0,89.04,1000200.0,51882.0,5.19,229.14,0.46,3684.98,2390008.25
FairPES,bank,marital,RandomForestClassifier,446885.0,328406.0,73.49,473300.0,26415.0,5.58,3302.34,18.59,99.45,1209484.5
FairPES,bank,marital,SVC,946626.0,417290.0,44.08,1000200.0,53574.0,5.36,1038.55,8.64,401.9,2773707.5
FairPES,bank,marital,Sequential,369911.0,166428.0,44.99,396800.0,26889.0,6.77,3302.0,46.74,50.4,1101102.0
FairPES,census,age,DecisionTreeClassifier,974630.0,947645.0,97.23,1000200.0,25570.0,2.56,229.66,0.37,4127.47,2415716.0
FairPES,census,age,RandomForestClassifier,476398.0,458176.0,96.18,489700.0,13302.0,2.72,3302.27,18.27,138.75,1210065.0
FairPES,census,age,SVC,965227.0,576379.0,59.71,1000200.0,34973.0,3.5,2907.64,15.74,198.47,6209289.0
FairPES,census,age,Sequential,208531.0,165152.0,79.22,216900.0,8369.0,3.85,3305.03,49.76,49.97,1109345.0
FairPES,census,race,DecisionTreeClassifier,962674.0,755284.0,78.46,1000200.0,37526.0,3.75,339.71,1.35,2229.3,3850027.75
FairPES,census,race,RandomForestClassifier,310192.0,202072.0,65.07,325300.0,15108.0,4.63,3302.22,51.54,61.19,1219258.5
FairPES,census,race,SVC,948808.0,225595.0,23.77,1000200.0,51392.0,5.14,2148.04,30.52,105.09,4566855.75
FairPES,census,race,Sequential,268621.0,165374.0,61.57,278900.0,10279.0,3.69,3302.95,69.38,50.07,1100840.5
FairPES,census,sex,DecisionTreeClassifier,966522.0,819238.0,84.76,1000200.0,33678.0,3.37,196.09,0.54,4178.51,2000400.0
FairPES,census,sex,RandomForestClassifier,579382.0,408994.0,70.59,603000.0,23618.0,3.91,3302.01,20.47,123.86,1206000.0
FairPES,census,sex,SVC,953439.0,172266.0,18.07,1000200.0,46761.0,4.68,962.17,19.15,179.04,2000400.0
FairPES,census,sex,Sequential,524282.0,227700.0,43.43,546500.0,22218.0,4.07,3302.39,38.66,68.95,1093000.0
FairPES,compas,age,DecisionTreeClassifier,868621.0,784371.0,90.3,1000200.0,131579.0,13.16,386.62,0.62,2042.12,4440865.0
FairPES,compas,age,RandomForestClassifier,199801.0,156094.0,78.21,237000.0,37199.0,15.76,3302.66,55.25,47.26,1215311.25
FairPES,compas,age,SVC,853681.0,638433.0,74.78,1000200.0,146519.0,14.65,1516.67,4.74,421.28,6966280.25
FairPES,compas,age,Sequential,197718.0,171189.0,86.61,228200.0,30482.0,13.36,3301.68,48.26,51.85,1100593.5
FairPES,compas,race,DecisionTreeClassifier,869234.0,828600.0,95.33,1000200.0,130966.0,13.09,314.45,0.45,2636.48,3470317.75
FairPES,compas,race,RandomForestClassifier,307382.0,282195.0,91.84,359000.0,51618.0,14.39,3302.93,26.68,85.44,1212761.5
FairPES,compas,race,SVC,834201.0,617804.0,74.06,1000200.0,165999.0,16.6,1027.85,4.51,601.57,4667537.0
FairPES,compas,race,Sequential,204614.0,132914.0,64.96,240800.0,36186.0,15.03,3304.09,46.84,40.23,1104638.5
FairPES,compas,sex,DecisionTreeClassifier,866358.0,761043.0,87.85,1000200.0,133842.0,13.38,197.38,0.43,3855.83,2000400.0
FairPES,compas,sex,RandomForestClassifier,508986.0,384146.0,75.43,605900.0,96914.0,16.0,3301.87,22.74,116.34,1211800.0
FairPES,compas,sex,SVC,796305.0,286440.0,35.98,1000200.0,203895.0,20.39,462.25,9.46,619.68,2000400.0
FairPES,compas,sex,Sequential,462383.0,292086.0,63.17,548600.0,86217.0,15.72,3302.28,24.9,88.45,1097200.0
FairPES,credit,age,DecisionTreeClassifier,863452.0,779482.0,90.28,1000200.0,136748.0,13.67,468.03,0.94,1674.68,5441173.75
FairPES,credit,age,RandomForestClassifier,167953.0,144601.0,86.1,200700.0,32747.0,16.37,3304.86,35.86,43.75,1224114.25
FairPES,credit,age,SVC,875676.0,415638.0,47.49,1000200.0,124524.0,12.45,720.44,5.7,576.91,6241222.0
FairPES,credit,age,Sequential,163956.0,102282.0,62.34,189800.0,25844.0,13.64,3303.62,69.73,30.96,1095747.33
FairPES,credit,sex,DecisionTreeClassifier,837481.0,690889.0,82.49,1000200.0,162719.0,16.27,198.32,0.82,3483.79,2000400.0
FairPES,credit,sex,RandomForestClassifier,505976.0,365373.0,72.2,609533.0,103558.0,16.99,3302.64,19.17,110.63,1219066.67
FairPES,credit,sex,SVC,854246.0,89732.0,10.53,1000200.0,145954.0,14.59,256.4,9.46,349.94,2000400.0
FairPES,credit,sex,Sequential,472885.0,192327.0,40.68,550733.0,77848.0,14.13,3302.15,35.65,58.24,1101466.67
FairPES,meps,sex,DecisionTreeClassifier,979348.0,917057.0,93.64,1000200.0,20852.0,2.08,213.05,0.41,4304.61,2000400.0
FairPES,meps,sex,RandomForestClassifier,584382.0,417628.0,71.46,600200.0,15818.0,2.64,3303.54,17.03,126.42,1200400.0
FairPES,meps,sex,SVC,961960.0,150938.0,15.71,1000200.0,38240.0,3.82,601.29,9.07,251.04,2000400.0
FairPES,meps,sex,Sequential,534973.0,362361.0,67.74,547500.0,12527.0,2.29,3303.8,12.85,109.68,1095000.0
