dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
bank,age,RandomForestClassifier,"9,871","54,734","216,648","14,354","14,825","3,879","42,416","184,806","9,664","2,156",40.19,77.45,85.31,67.29,14.52,1046876,103943,228100,15877,14825,1037005,49209,11452,1523,0,99.06,47.36,5.02,9.42,0,3566.01,3301.67,3302.87,3300.17,3308.87,1187.93,109.69,29.34,344.85,938.31,1.12,12.85,55.95,2.93,0.65,,,1205950.5,,
bank,marital,RandomForestClassifier,"16,232","177,835","446,885","15,328","13,625","3,150","109,253","328,406","8,531","1,571",19.49,61.39,73.49,55.61,11.53,1032571,342708,473300,17298,13625,1016339,164872,26415,1971,0,98.43,48.1,5.58,11.39,0,2652.13,3300.91,3302.34,3300.08,3314.08,805.4,63.99,18.59,417.53,1688.52,1.2,33.1,99.45,2.59,0.47,,,1209484.5,,
census,age,RandomForestClassifier,"8,484","81,316","476,398","19,314","33,525","5,040","70,420","458,176","11,887","21,418",61.42,86.56,96.18,61.56,63.82,1060921,144102,489700,20907,33525,1052437,62786,13302,1592,0,99.2,43.57,2.72,7.84,0,1605.63,3302.75,3302.27,3300.07,3305.15,574.86,71.7,18.27,789.68,76.47,3.6,21.32,138.75,3.6,6.48,,,1210065,,
census,race,RandomForestClassifier,"6,039","98,424","310,192","12,674","17,650",200,"40,892","202,072","2,715","1,049",2.99,41.38,65.07,21.22,5.94,137037,181920,325300,19755,17650,130998,83496,15108,7081,0,95.53,45.9,4.63,35.75,0,1419.06,3300.61,3302.22,3300.07,3309.68,,173.97,51.54,1697.5,3001.88,0.13,12.39,61.19,0.82,0.32,,,1219258.5,,
census,sex,RandomForestClassifier,"7,918","340,998","579,382","13,565","17,575",627,"182,252","408,994","4,483","3,392",6.46,53.45,70.59,31,19.31,244972,608377,603000,20465,17575,237054,267378,23618,6900,0,96.72,43.95,3.91,32.05,0,711.74,3300.84,3302.01,10483.54,3309.96,899.88,43.56,20.47,,465.26,0.73,55.21,123.86,1.32,1.02,,,1206000,,
compas,age,RandomForestClassifier,"40,840","54,766","199,801","7,471","20,900","2,870","34,745","156,094","3,125","3,968",6.94,63.18,78.21,41.69,19,896503,108159,237000,23934,20900,855663,53393,37199,16463,0,95.4,49.31,15.76,68.96,0,12740.66,3303.52,3302.66,3300.12,3312.79,5227.38,176.96,55.25,673.7,492.27,0.22,10.52,47.26,0.95,1.2,,,1215311.25,,
compas,race,RandomForestClassifier,"22,734","93,009","307,382","7,559","24,924","4,338","72,346","282,195","3,771","13,858",18.89,77.77,91.84,49.57,55.62,940854,179770,359000,23198,24925,918119,86761,51618,15639,1,97.51,48.26,14.39,67.05,0,4370.71,3301.88,3302.93,3300.1,3300.66,1867.36,70.69,26.68,529.04,116.31,1,21.91,85.44,1.14,4.2,,,1212761.5,,
compas,sex,RandomForestClassifier,"21,948","304,501","508,986","6,513","18,975",460,"155,288","384,146","1,580","3,306",2.02,51,75.43,24.27,17.43,352049,607487,605900,21974,18975,330102,302986,96914,15461,0,93.85,49.88,16,69.95,0,1649.85,3300.65,3301.87,3300.13,3303.94,,74.22,22.74,1804.55,553.93,0.26,47.05,116.34,0.48,1,,,1211800,,
credit,age,RandomForestClassifier,"9,833","65,860","167,953","21,667","15,250","2,385","39,246","144,601","14,126","3,268",24.03,58.47,86.1,65.22,21.43,944586,117553,200700,26120,15250,934753,51694,32747,4452,0,98.95,43.98,16.37,17.11,0,5725.88,3302.54,3304.86,3300.12,3302.95,2468.23,152.62,35.86,205.62,629.11,0.44,11.88,43.75,4.28,0.99,,,1224114.25,,
credit,sex,RandomForestClassifier,"16,291","335,069","505,976","26,332","13,725","1,195","148,610","365,373","12,185","1,200",7.57,44.35,72.2,46.41,8.74,807950,608671,609533,31248,13725,791659,273602,103558,4916,0,98.03,44.95,16.99,15.78,0,2619.96,3300.73,3302.64,3300.13,3312.67,2186.06,44.61,19.17,289.56,2490.27,0.44,45.02,110.63,3.69,0.36,,,1219066.67,,
meps,sex,RandomForestClassifier,"11,937","464,819","584,382","18,654",,"1,450","206,664","417,628","10,014",,12.13,44.46,71.46,53.52,,1055263,607228,600200,19498,,1043327,142410,15818,844,,98.87,23.45,2.64,4.37,,2465.36,3301.11,3303.54,3300.08,,1623.22,32.41,17.03,358.89,,0.6,62.6,126.42,3.03,,,,1200400,,
,,,"15,648","188,303","391,271","14,857","19,097","2,327","100,194","302,954","7,462","5,519",18.38,59.95,78.72,47.03,23.73,774507.45,328174.36,430157.55,21843.09,19097.5,758859.64,139871.55,38886.27,6985.64,0.1,97.41,44.43,9.46,30.88,0,3593.36,3301.56,3302.75,3953.15,3308.08,1871.15,92.22,28.63,711.09,1045.23,0.89,30.35,91.73,2.26,1.67,,,,,
