dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
bank,age,SVC,"9,121","336,515","957,967","2,056","19,825",957,"199,527","511,362",120,600,8.83,59.07,53.38,5.1,3.03,407962,665142,1000200,2135,19825,398841,328627,42233,80,0,97.51,49.42,4.22,3.28,0,705.48,3276.56,2418.04,3300.86,3307.22,484.99,292.48,12.16,,,1.21,61.17,211.61,0.04,0.18,,,6648513,,
bank,marital,SVC,"2,913","477,343","946,626","2,093","19,500",85,"163,493","417,290",30,600,2.2,34.06,44.08,1.27,3.07,78418,1000036,1000200,2143,19500,75505,522693,53574,50,0,95.91,52.27,5.36,2.02,0,79.06,1934.65,1038.55,3301.11,3307.05,,579.01,8.64,,,0.89,85.78,401.9,0.01,0.18,,,2773707.5,,
census,age,SVC,"10,424","269,828","965,227","1,506","20,750","1,740","141,487","576,379",429,"1,385",14.38,52.28,59.71,25.49,6.68,489428,482301,1000200,1584,20750,479004,212473,34973,78,0,97.71,44.05,3.5,4.46,0,693.57,3300.92,2907.64,3301.16,3305.51,388.64,568.13,15.74,,1736.61,2.28,42.86,198.47,0.13,0.42,,,6209289,,
census,race,SVC,"2,704","202,347","948,808","1,453","20,700",32,"23,230","225,595",36,216,1.06,11.48,23.77,2.21,1.04,50316,456628,1000200,1580,20700,47612,254280,51392,128,0,94.67,55.7,5.14,7.24,0,131.99,3300.11,2148.04,3301.13,3307.41,,1850.65,30.52,,,0.26,7.04,105.09,0.01,0.07,,,4566855.75,,
census,sex,SVC,"1,474","413,642","953,439","1,508","20,250",8,"27,951","172,266",20,300,0.38,6.47,18.07,1.14,1.49,24813,1000100,1000200,1583,20250,23338,586458,46761,74,0,94.08,58.64,4.68,4.3,0,28.28,2383.62,962.17,3301.38,3307.2,,1491.21,19.15,,,0.24,11.73,179.04,0.01,0.09,,,2000400,,
compas,age,SVC,"20,509","518,472","853,681",782,"20,950","3,820","335,566","638,433",498,"2,984",18.36,64.71,74.78,64.52,14.23,934699,998267,1000200,4768,20950,914190,479796,146519,3986,0,97.78,48.06,14.65,82.67,0,712.69,3012,1516.67,3300.51,3308.34,245.72,142.99,4.74,,464.3,5.43,115.66,421.28,0.15,0.9,,,6966280.25,,
compas,race,SVC,"32,290","508,169","834,201","1,061","19,700","3,032","281,131","617,804",581,"2,560",9.6,55.32,74.06,53.77,13.09,962502,1000107,1000200,5443,19700,930211,491938,165999,4382,0,96.67,49.19,16.6,80.46,0,815.18,2033.72,1027.85,3300.2,3312.74,276.07,181.74,4.51,,754.27,3.82,141.79,601.57,0.18,0.77,,,4667537,,
compas,sex,SVC,"5,460","238,213","796,305","1,504","18,325",29,"17,072","286,440",164,360,0.45,5.9,35.98,9.95,1.96,70059,1000081,1000200,4841,18325,64599,761868,203895,3338,0,91.91,76.18,20.39,67.57,0,43.49,808.15,462.25,3300.29,3306.73,,477.22,9.46,,,0.59,20.86,619.68,0.05,0.11,,,2000400,,
credit,age,SVC,"3,751","550,255","875,676","23,784","18,935",305,"347,596","415,638","7,611","2,621",7.87,63.16,47.49,31.97,13.86,191750,1000066,1000200,25418,18975,187999,449811,124524,1634,40,98.05,44.98,12.45,6.31,0.21,113.71,1263.57,720.44,3300.12,3306.94,,25.65,5.7,501.72,712.97,2.61,284.62,576.91,2.31,0.79,,,6241222,,
credit,sex,SVC,"1,012","361,694","854,246","6,882","18,215",1,"17,122","89,732",34,417,0.06,4.68,10.53,0.47,2.28,27300,1000144,1000200,27085,18220,26288,638450,145954,20203,5,96.38,63.84,14.59,72.3,0.03,8.8,286.69,256.4,3300.07,3307.41,,43.45,9.46,,,0.08,59.72,349.94,0.01,0.13,,,2000400,,
meps,sex,SVC,"7,368","760,314","961,960","2,996",,244,"94,256","150,938",9,,2.71,12.4,15.71,0.27,,475737,1000077,1000200,3028,,468368,239763,38240,32,,98.5,23.97,3.82,1.03,,234.93,1474.63,601.29,3300.9,,,875.06,9.07,,,0.88,63.92,251.04,0,,,,2000400,,
,,,"8,821","421,527","904,376","4,148","19,715",932,"149,857","372,898",867,"1,204",5.99,33.59,41.6,17.83,6.07,337544,872995.36,1000200,7237.09,19719.5,328723.18,451468.82,95824,3089.55,4.5,96.29,51.48,9.58,30.15,0.02,324.29,2097.69,1278.12,3300.7,3307.66,348.86,593.42,11.74,501.72,917.04,1.66,81.38,356.05,0.26,0.36,,,,,
