dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
bank,age,Sequential,"9,039","21,098","169,880","12,544","16,500","2,534","12,212","111,806","7,592",900,28.03,63.27,65.71,60.52,5.45,759285,80467,180300,14465,16500,750246,59368,10420,1921,0,98.81,81.85,5.78,13.28,0,6692.19,3305.4,3304.21,3300.17,3303.84,2514.27,695.11,81.81,472.35,,0.38,3.7,33.84,2.3,0.27,,,1106385.25,,
bank,marital,Sequential,"5,934","51,501","369,911","14,896","17,200",493,"17,552","166,428","3,213",718,8.31,31.98,44.99,21.57,4.17,252162,289611,396800,17577,17200,246228,238110,26889,2681,0,97.65,85.83,6.77,15.25,0,1865.05,3301.66,3302,3300.1,3302.08,,1032.16,46.74,1256.11,,0.26,5.32,50.4,0.97,0.22,,,1101102,,
census,age,Sequential,"6,059","26,390","208,531","15,436","19,850",886,"17,774","165,152","10,083","2,418",14.62,74.79,79.22,65.32,12.18,279422,82733,216900,17510,19850,273363,56343,8369,2074,0,97.83,76.7,3.85,11.84,0,4010.66,3305.98,3305.03,3300.11,3307.02,,310.92,49.76,300.31,624.16,0.22,5.38,49.97,3.06,0.73,,,1109345,,
census,race,Sequential,"2,890","30,634","268,621","13,109","18,550",209,"7,736","165,374","3,248",498,7.23,21.3,61.57,24.78,2.68,96689,155955,278900,18181,18550,93799,125321,10279,5072,0,97.01,85.61,3.69,27.9,0,1235.76,3300.36,3302.95,3300.08,3314.35,,2144.1,69.38,1213.95,,0.17,2.34,50.07,0.98,0.15,,,1100840.5,,
census,sex,Sequential,"2,078","81,827","524,282","8,073","18,750",54,"14,134","227,700","1,094",787,2.6,16.55,43.43,13.55,4.2,53605,527975,546500,17231,18750,51527,446148,22218,9158,0,96.12,85.21,4.07,53.15,0,383.6,3300.6,3302.39,3300.38,3304.49,,1033.9,38.66,3019.89,,0.14,4.28,68.95,0.33,0.24,,,1093000,,
compas,age,Sequential,"13,971","23,246","197,718",,"20,650","1,906","16,022","171,189",,"2,152",13.64,75.49,86.61,,10.42,530116,81267,228200,,20650,516145,58021,30482,,0,97.36,78.92,13.36,,0,7582.2,3304.09,3301.68,,3301.75,3888.75,308.25,48.26,,715.47,0.25,4.85,51.85,,0.65,,,1100593.5,,
compas,race,Sequential,"17,070","27,351","204,614",,"19,250",144,"12,118","132,914",,690,0.84,38.79,64.96,,3.58,241761,129577,240800,,19250,224691,102226,36186,,0,92.94,85.29,15.03,,0,5413.2,3304.03,3304.09,,3308.03,,1201.55,46.84,,,0.03,3.67,40.23,,0.21,,,1104638.5,,
compas,sex,Sequential,"13,845","77,478","462,383",,"18,650",79,"28,703","292,086",,"1,897",0.57,37.77,63.17,,10.17,190989,527576,548600,,18650,177144,450098,86217,,0,92.75,85.87,15.72,,0,1498.29,3300.44,3302.28,,3307.2,,621.26,24.9,,1039.56,0.05,8.7,88.45,,0.57,,,1097200,,
credit,age,Sequential,"8,104","29,994","163,956","19,338","18,500","1,399","21,066","102,282","9,758","2,481",17.26,76.91,62.34,50.46,13.41,642311,92204,189800,22031,18500,634207,62209,25844,2693,0,98.74,75.22,13.64,12.22,0,7601.51,3303.73,3303.62,3300.17,3310.86,5743.84,265.42,69.73,317.85,1071.86,0.18,6.38,30.96,2.96,0.75,,,1095747.33,,
credit,sex,Sequential,"9,248","83,720","472,885","16,387","17,450",540,"28,968","192,327","4,150","1,749",5.89,32.7,40.68,25.32,10.02,440578,527266,550733,24501,17450,431330,443546,77848,8114,0,97.91,84.72,14.13,33.12,0,2483.7,3300.54,3302.15,3300.28,3303.45,,217.89,35.65,696.03,1826.67,0.22,8.78,58.24,1.26,0.53,,,1101466.67,,
meps,sex,Sequential,"9,098","188,872","534,973","12,877",,982,"131,608","362,361","5,240",,10.79,77.58,67.74,40.69,,1054371,522400,547500,13539,,1045273,333528,12527,662,,99.14,64.54,2.29,4.89,,4659.33,3301.22,3303.8,3300.13,,,37.94,12.85,611.16,,0.21,39.86,109.68,1.59,,,,1095000,,
,,,"8,849","58,374","325,250","14,083","18,535",839,"27,990","189,965","5,547","1,429",9.98,49.74,61.86,37.78,7.63,412844.45,274275.55,356821.18,18129.38,18535,403995.73,215901.64,31570.82,4046.88,0,96.93,80.89,8.94,21.46,0,3947.77,3302.55,3303.11,3300.18,3306.31,4048.95,715.32,47.69,985.96,1055.54,0.19,8.48,57.51,1.68,0.43,,,,,
