approach_name,dataset_name,sensitive_name,classifier_name,tot_inputs,disc_inputs,disc_rate,total_generated,duplicates,duplication_rate,elapsed_time,time_to_1000_disc,egs,inference_count
VBTX,bank,age,DecisionTreeClassifier,15375.0,6690.0,43.47,15375.0,0.0,0.0,3306.85,621.83,2.02,
VBTX,bank,age,RandomForestClassifier,14825.0,2156.0,14.52,14825.0,0.0,0.0,3308.87,938.31,0.65,
VBTX,bank,age,SVC,19825.0,600.0,3.03,19825.0,0.0,0.0,3307.22,,0.18,
VBTX,bank,age,Sequential,16500.0,900.0,5.45,16500.0,0.0,0.0,3303.84,,0.27,
VBTX,bank,marital,DecisionTreeClassifier,14275.0,4680.0,32.79,14275.0,0.0,0.0,3304.8,744.87,1.42,
VBTX,bank,marital,RandomForestClassifier,13625.0,1571.0,11.53,13625.0,0.0,0.0,3314.08,1688.52,0.47,
VBTX,bank,marital,SVC,19500.0,600.0,3.07,19500.0,0.0,0.0,3307.05,,0.18,
VBTX,bank,marital,Sequential,17200.0,718.0,4.17,17200.0,0.0,0.0,3302.08,,0.22,
VBTX,census,age,DecisionTreeClassifier,27975.0,20576.0,73.54,27975.0,0.0,0.0,3302.96,56.6,6.23,
VBTX,census,age,RandomForestClassifier,33525.0,21418.0,63.82,33525.0,0.0,0.0,3305.15,76.47,6.48,
VBTX,census,age,SVC,20750.0,1385.0,6.68,20750.0,0.0,0.0,3305.51,1736.61,0.42,
VBTX,census,age,Sequential,19850.0,2418.0,12.18,19850.0,0.0,0.0,3307.02,624.16,0.73,
VBTX,census,race,DecisionTreeClassifier,20024.0,3110.0,15.34,20025.0,0.0,0.0,3302.01,1118.58,0.94,
VBTX,census,race,RandomForestClassifier,17650.0,1049.0,5.94,17650.0,0.0,0.0,3309.68,3001.88,0.32,
VBTX,census,race,SVC,20700.0,216.0,1.04,20700.0,0.0,0.0,3307.41,,0.07,
VBTX,census,race,Sequential,18550.0,498.0,2.68,18550.0,0.0,0.0,3314.35,,0.15,
VBTX,census,sex,DecisionTreeClassifier,19249.0,6376.0,33.06,19250.0,1.0,0.01,3311.93,477.32,1.93,
VBTX,census,sex,RandomForestClassifier,17575.0,3392.0,19.31,17575.0,0.0,0.0,3309.96,465.26,1.02,
VBTX,census,sex,SVC,20250.0,300.0,1.49,20250.0,0.0,0.0,3307.2,,0.09,
VBTX,census,sex,Sequential,18750.0,787.0,4.2,18750.0,0.0,0.0,3304.49,,0.24,
VBTX,compas,age,DecisionTreeClassifier,37325.0,29748.0,79.69,37325.0,0.0,0.0,3302.05,69.83,9.01,
VBTX,compas,age,RandomForestClassifier,20900.0,3968.0,19.0,20900.0,0.0,0.0,3312.79,492.27,1.2,
VBTX,compas,age,SVC,20950.0,2984.0,14.23,20950.0,0.0,0.0,3308.34,464.3,0.9,
VBTX,compas,age,Sequential,20650.0,2152.0,10.42,20650.0,0.0,0.0,3301.75,715.47,0.65,
VBTX,compas,race,DecisionTreeClassifier,39225.0,32016.0,81.63,39225.0,0.0,0.0,3300.38,64.73,9.7,
VBTX,compas,race,RandomForestClassifier,24924.0,13858.0,55.62,24925.0,1.0,0.0,3300.66,116.31,4.2,
VBTX,compas,race,SVC,19700.0,2560.0,13.09,19700.0,0.0,0.0,3312.74,754.27,0.77,
VBTX,compas,race,Sequential,19250.0,690.0,3.58,19250.0,0.0,0.0,3308.03,,0.21,
VBTX,compas,sex,DecisionTreeClassifier,33200.0,25580.0,77.05,33200.0,0.0,0.0,3302.94,63.21,7.74,
VBTX,compas,sex,RandomForestClassifier,18975.0,3306.0,17.43,18975.0,0.0,0.0,3303.94,553.93,1.0,
VBTX,compas,sex,SVC,18325.0,360.0,1.96,18325.0,0.0,0.0,3306.73,,0.11,
VBTX,compas,sex,Sequential,18650.0,1897.0,10.17,18650.0,0.0,0.0,3307.2,1039.56,0.57,
VBTX,credit,age,DecisionTreeClassifier,44825.0,33160.0,73.78,44825.0,0.0,0.0,3301.96,65.14,10.04,
VBTX,credit,age,RandomForestClassifier,15250.0,3268.0,21.43,15250.0,0.0,0.0,3302.95,629.11,0.99,
VBTX,credit,age,SVC,18935.0,2621.0,13.86,18975.0,40.0,0.21,3306.94,712.97,0.79,
VBTX,credit,age,Sequential,18500.0,2481.0,13.41,18500.0,0.0,0.0,3310.86,1071.86,0.75,
VBTX,credit,sex,DecisionTreeClassifier,33725.0,18982.0,56.29,33725.0,0.0,0.0,3302.03,148.56,5.75,
VBTX,credit,sex,RandomForestClassifier,13725.0,1200.0,8.74,13725.0,0.0,0.0,3312.67,2490.27,0.36,
VBTX,credit,sex,SVC,18215.0,417.0,2.28,18220.0,5.0,0.03,3307.41,,0.13,
VBTX,credit,sex,Sequential,17450.0,1749.0,10.02,17450.0,0.0,0.0,3303.45,1826.67,0.53,
