dataset_name,sensitive_name,classifier_name,tot_inputs_AEQUITAS,tot_inputs_ExpGA,tot_inputs_FairPES,tot_inputs_SG,tot_inputs_VBTX,disc_inputs_AEQUITAS,disc_inputs_ExpGA,disc_inputs_FairPES,disc_inputs_SG,disc_inputs_VBTX,disc_rate_AEQUITAS,disc_rate_ExpGA,disc_rate_FairPES,disc_rate_SG,disc_rate_VBTX,total_generated_AEQUITAS,total_generated_ExpGA,total_generated_FairPES,total_generated_SG,total_generated_VBTX,duplicates_AEQUITAS,duplicates_ExpGA,duplicates_FairPES,duplicates_SG,duplicates_VBTX,duplication_rate_AEQUITAS,duplication_rate_ExpGA,duplication_rate_FairPES,duplication_rate_SG,duplication_rate_VBTX,elapsed_time_AEQUITAS,elapsed_time_ExpGA,elapsed_time_FairPES,elapsed_time_SG,elapsed_time_VBTX,time_to_1000_disc_AEQUITAS,time_to_1000_disc_ExpGA,time_to_1000_disc_FairPES,time_to_1000_disc_SG,time_to_1000_disc_VBTX,egs_AEQUITAS,egs_ExpGA,egs_FairPES,egs_SG,egs_VBTX,inference_count_AEQUITAS,inference_count_ExpGA,inference_count_FairPES,inference_count_SG,inference_count_VBTX
bank,age,DecisionTreeClassifier,11970,524228,939731,18079,15375,3707,401922,815000,13069,6690,32.18,76.67,86.73,72.31,43.47,1038300,1000006,1000200,19385,15375,1026330,475777,60469,1306,0,98.85,47.58,6.05,6.72,0,168.43,1003.76,446.7,3300.1,3306.85,46.47,4.21,0.91,235.03,621.83,22.36,412.01,1828.46,3.96,2.02,,,5224083.5,,
bank,age,RandomForestClassifier,9871,54734,216648,14354,14825,3879,42416,184806,9664,2156,40.19,77.45,85.31,67.29,14.52,1046876,103943,228100,15877,14825,1037005,49209,11452,1523,0,99.06,47.36,5.02,9.42,0,3566.01,3301.67,3302.87,3300.17,3308.87,1187.93,109.69,29.34,344.85,938.31,1.12,12.85,55.95,2.93,0.65,,,1205950.5,,
bank,age,SVC,9121,336515,957967,2056,19825,957,199527,511362,120,600,8.83,59.07,53.38,5.1,3.03,407962,665142,1000200,2135,19825,398841,328627,42233,80,0,97.51,49.42,4.22,3.28,0,705.48,3276.56,2418.04,3300.86,3307.22,484.99,292.48,12.16,,,1.21,61.17,211.61,0.04,0.18,,,6648513,,
bank,age,Sequential,9039,21098,169880,12544,16500,2534,12212,111806,7592,900,28.03,63.27,65.71,60.52,5.45,759285,80467,180300,14465,16500,750246,59368,10420,1921,0,98.81,81.85,5.78,13.28,0,6692.19,3305.4,3304.21,3300.17,3303.84,2514.27,695.11,81.81,472.35,,0.38,3.7,33.84,2.3,0.27,,,1106385.25,,
bank,marital,DecisionTreeClassifier,11526,523203,948318,20077,14275,3702,392747,844354,10684,4680,32.31,75.07,89.04,53.2,32.79,1039714,1000049,1000200,21126,14275,1028188,476846,51882,1049,0,98.89,47.68,5.19,4.95,0,79.74,325.76,229.14,3300.09,3304.8,28.24,3.45,0.46,306.13,744.87,47.48,1214.95,3684.98,3.24,1.42,,,2390008.25,,
bank,marital,RandomForestClassifier,16232,177835,446885,15328,13625,3150,109253,328406,8531,1571,19.49,61.39,73.49,55.61,11.53,1032571,342708,473300,17298,13625,1016339,164872,26415,1971,0,98.43,48.1,5.58,11.39,0,2652.13,3300.91,3302.34,3300.08,3314.08,805.4,63.99,18.59,417.53,1688.52,1.2,33.1,99.45,2.59,0.47,,,1209484.5,,
bank,marital,SVC,2913,477343,946626,2093,19500,85,163493,417290,30,600,2.2,34.06,44.08,1.27,3.07,78418,1000036,1000200,2143,19500,75505,522693,53574,50,0,95.91,52.27,5.36,2.02,0,79.06,1934.65,1038.55,3301.11,3307.05,,579.01,8.64,,,0.89,85.78,401.9,0.01,0.18,,,2773707.5,,
bank,marital,Sequential,5934,51501,369911,14896,17200,493,17552,166428,3213,718,8.31,31.98,44.99,21.57,4.17,252162,289611,396800,17577,17200,246228,238110,26889,2681,0,97.65,85.83,6.77,15.25,0,1865.05,3301.66,3302,3300.1,3302.08,,1032.16,46.74,1256.11,,0.26,5.32,50.4,0.97,0.22,,,1101102,,
census,age,DecisionTreeClassifier,7364,563951,974630,12583,27975,5270,526596,947645,9821,20576,72.12,93.38,97.23,78.03,73.54,1084153,1000003,1000200,29335,27975,1076789,436052,25570,16752,0,99.32,43.61,2.56,57.41,0,60.88,695.1,229.66,3300.13,3302.96,17.14,2.77,0.37,964.9,56.6,89.3,773.6,4127.47,2.98,6.23,,,2415716,,
census,age,RandomForestClassifier,8484,81316,476398,19314,33525,5040,70420,458176,11887,21418,61.42,86.56,96.18,61.56,63.82,1060921,144102,489700,20907,33525,1052437,62786,13302,1592,0,99.2,43.57,2.72,7.84,0,1605.63,3302.75,3302.27,3300.07,3305.15,574.86,71.7,18.27,789.68,76.47,3.6,21.32,138.75,3.6,6.48,,,1210065,,
