dataset_name,sensitive_name,classifier_name,tot_inputs_aFairPHS,tot_inputs_bFairESTEO,tot_inputs_cAFT,tot_inputs_dFairPES,disc_inputs_aFairPHS,disc_inputs_bFairESTEO,disc_inputs_cAFT,disc_inputs_dFairPES,disc_rate_aFairPHS,disc_rate_bFairESTEO,disc_rate_cAFT,disc_rate_dFairPES,total_generated_aFairPHS,total_generated_bFairESTEO,total_generated_cAFT,total_generated_dFairPES,duplicates_aFairPHS,duplicates_bFairESTEO,duplicates_cAFT,duplicates_dFairPES,duplication_rate_aFairPHS,duplication_rate_bFairESTEO,duplication_rate_cAFT,duplication_rate_dFairPES,elapsed_time_aFairPHS,elapsed_time_bFairESTEO,elapsed_time_cAFT,elapsed_time_dFairPES,time_to_1000_disc_aFairPHS,time_to_1000_disc_bFairESTEO,time_to_1000_disc_cAFT,time_to_1000_disc_dFairPES,egs_aFairPHS,egs_bFairESTEO,egs_cAFT,egs_dFairPES,inference_count_aFairPHS,inference_count_bFairESTEO,inference_count_cAFT,inference_count_dFairPES
bank,age,RandomForestClassifier,"238,265","219,900","956,877","216,648","209,526","190,429","833,039","184,806",87.93,86.61,86.81,85.31,242875,230067,956877,228100,4610,10167,1,11452,1.9,4.43,0,5.02,3302.18,3303.13,3077.74,3302.87,28.56,28.93,29.98,29.34,63.45,57.65,273.02,55.95,1204263.12,1194584,1066138,1205950.5
bank,marital,RandomForestClassifier,"498,583","429,048","1,001,216","446,885","402,924","328,614","348,104","328,406",80.73,76.57,34.77,73.49,510825,451333,1001216,473300,12242,22286,0,26415,2.4,4.93,0,5.58,3302.02,3303.1,2648,3302.34,16.31,16.75,25.54,18.59,122.02,99.49,131.49,99.45,1203430,1177098,875908,1209484.5
census,age,RandomForestClassifier,"534,682","491,369","1,008,891","476,398","524,080","472,554","978,637","458,176",98.02,96.17,97,96.18,536725,503667,1008892,489700,2043,12297,1,13302,0.38,2.44,0,2.72,3302.19,3302.94,1957.63,3302.27,12.1,15.9,34.71,18.27,158.71,143.07,499.95,138.75,1202283.12,1193716,713113,1210065
census,race,RandomForestClassifier,"365,089","319,479","773,324","310,192","266,088","215,267","311,687","202,072",72,67.31,38.96,65.07,370500,332267,773402,325300,5411,12788,78,15108,1.48,3.85,0.01,4.63,3302.03,3302.38,3303.9,3302.22,28.26,48.48,52.48,51.54,80.58,65.18,94.34,61.19,1205689.5,1192040,1108199,1219258.5
census,sex,RandomForestClassifier,"593,676","588,977","1,003,235","579,382","500,283","455,321","711,937","408,994",84.17,77.31,70.97,70.59,599600,607333,1003237,603000,5924,18356,3,23618,0.99,3.02,0,3.91,3302.07,3302.55,1494.11,3302.01,12.41,18.87,21.22,20.47,151.50,137.87,476.63,123.86,1199200,1180800,501310,1206000
compas,age,RandomForestClassifier,"270,972","221,648","994,512","199,801","202,738","177,531","934,325","156,094",74.85,80.21,93.95,78.21,278767,252200,1008024,237000,7794,30552,13512,37199,2.8,12.15,1.34,15.76,3301.84,3302.28,2232.95,3302.66,37.38,51.7,39.8,55.25,61.40,53.76,419.04,47.26,1212110.33,1200928,846188,1215311.25
compas,race,RandomForestClassifier,"389,287","342,818","1,007,996","307,382","340,021","317,316","979,813","282,195",87.34,92.56,97.2,91.84,396840,387400,1008395,359000,7553,44582,399,51618,1.9,11.51,0.04,14.39,3301.64,3302.67,1756.81,3302.93,14.7,26.48,25.6,26.68,102.99,96.08,558.05,85.44,1207488.4,1183188,649272,1212761.5
compas,sex,RandomForestClassifier,"577,656","532,840","995,675","508,986","383,744","433,530","785,647","384,146",66.45,81.36,78.87,75.43,600971,605000,1004175,605900,23315,72160,8500,96914,3.88,11.93,0.85,16,3301.92,3302.65,1439.03,3301.87,15.37,18.08,26.53,22.74,116.22,131.27,547.27,116.34,1201942.86,1193600,501682,1211800
credit,age,RandomForestClassifier,"224,529","186,616","571,152","167,953","183,619","165,459","308,323","144,601",81.61,88.66,53.95,86.1,232080,215000,571152,200700,7551,28384,0,32747,3.27,13.2,0,16.37,3301.62,3303.86,3308.36,3304.86,29.7,33.29,36.24,35.86,55.61,50.08,93.20,43.75,1209431.4,1194350,1177733,1224114.25
credit,sex,RandomForestClassifier,"571,946","524,575","1,001,317","505,976","379,280","399,222","156,409","365,373",66.32,76.11,15.62,72.2,600160,606067,1001317,609533,28214,81491,0,103558,4.7,13.45,0,16.99,3302.34,3302.57,1746.8,3302.64,16.65,17.63,26.58,19.17,114.85,120.88,89.57,110.63,1200320,1170400,500600,1219066.67
meps,sex,RandomForestClassifier,"588,953","589,989","1,001,320","584,382","431,832","440,995","142,851","417,628",73.32,74.75,14.27,71.46,597050,604933,1001320,600200,8097,14945,0,15818,1.36,2.47,0,2.64,3303.13,3303.18,1739.08,3303.54,14.39,16.35,26.05,17.03,130.73,133.51,82.14,126.42,1194100,1186400,500319,1200400
,,,"441,240","404,296","937,774","391,271","347,649","326,931","590,070","302,954",79.34,81.6,62.03,78.72,451490.27,435933.36,939818.82,430157.55,10250.36,31637.09,2044.91,38886.27,2.28,7.58,0.2,9.46,3302.09,3302.85,2245.86,3302.75,20.53,26.59,31.34,28.63,105.28,98.99,296.79,91.73,1203659.88,1187918.55,767314.73,1212201.11
