dataset_name,sensitive_name,classifier_name,tot_inputs_aFairPHS,tot_inputs_bFairESTEO,tot_inputs_cAFT,tot_inputs_dFairPES,disc_inputs_aFairPHS,disc_inputs_bFairESTEO,disc_inputs_cAFT,disc_inputs_dFairPES,disc_rate_aFairPHS,disc_rate_bFairESTEO,disc_rate_cAFT,disc_rate_dFairPES,total_generated_aFairPHS,total_generated_bFairESTEO,total_generated_cAFT,total_generated_dFairPES,duplicates_aFairPHS,duplicates_bFairESTEO,duplicates_cAFT,duplicates_dFairPES,duplication_rate_aFairPHS,duplication_rate_bFairESTEO,duplication_rate_cAFT,duplication_rate_dFairPES,elapsed_time_aFairPHS,elapsed_time_bFairESTEO,elapsed_time_cAFT,elapsed_time_dFairPES,time_to_1000_disc_aFairPHS,time_to_1000_disc_bFairESTEO,time_to_1000_disc_cAFT,time_to_1000_disc_dFairPES,egs_aFairPHS,egs_bFairESTEO,egs_cAFT,egs_dFairPES,inference_count_aFairPHS,inference_count_bFairESTEO,inference_count_cAFT,inference_count_dFairPES
bank,age,SVC,"979,495","961,826","1,002,984","957,967","737,276","519,575","664,411","511,362",75.21,54.02,66.21,53.38,1000000,1000000,1002987,1000200,20505,38174,3,42233,2.05,3.82,0,4.22,2046.42,2389.7,1001,2418.04,4.78,12.49,9.78,12.16,368.09,217.44,708.34,211.61,5540052.75,6607570,2171389,6648513
bank,marital,SVC,"968,776","952,422","1,001,593","946,626","495,324","449,728","197,435","417,290",51.07,47.22,19.71,44.08,1000000,1000000,1001593,1000200,31224,47578,0,53574,3.12,4.76,0,5.36,1015.85,1028.85,1097.78,1038.55,3.84,6.53,14.02,8.64,491.80,437.16,181.64,401.90,2668297.62,2766655,920056,2773707.5
census,age,SVC,"992,404","970,094","1,000,237","965,227","797,055","587,600","465,066","576,379",80.32,60.57,46.50,59.71,1000000,1000000,1000237,1000200,7596,29906,0,34973,0.76,2.99,0,3.5,2427.93,2888.25,1575.1,2907.64,6.41,12.67,11.94,15.74,328.49,203.52,295.45,198.47,5108084.88,6219217,2654149,6209289
census,race,SVC,"979,777","954,627","922,482","948,808","287,300","252,737","54,781","225,595",29.34,26.47,5.95,23.77,1000000,1000000,922482,1000200,20223,45373,0,51392,2.02,4.54,0,5.14,2102.26,2095.54,3240.03,2148.04,18.93,23.31,137.44,30.52,136.87,120.77,16.95,105.09,4426219.5,4464900,1729560,4566855.75
census,sex,SVC,"962,140","943,004","22,439","953,439","208,024","176,062",420,"172,266",21.64,18.67,1.87,18.07,1000000,1000000,22439,1000200,37860,56996,0,46761,3.79,5.7,0,4.68,981.93,952.67,3301.08,962.17,10.94,17.21,,19.15,211.78,184.93,0.13,179.04,2000000,2000000,4050,2000400
compas,age,SVC,"981,712","875,633","996,116","853,681","905,774","722,517","917,492","638,433",92.27,82.51,92.11,74.78,1000000,1000000,1004641,1000200,18288,124367,8525,146519,1.83,12.44,0.85,14.65,1190.29,1429.11,337.32,1516.67,2.65,4.33,3.12,4.74,761.67,505.64,"2,733.36",421.28,5341064.6,6728310,1040633,6966280.25
compas,race,SVC,"978,400","875,873","968,703","834,201","830,096","677,476","527,900","617,804",84.84,77.35,55.10,74.06,1000000,1000000,1000524,1000200,21600,124127,31821,165999,2.16,12.41,3.18,16.6,894.55,982.37,496.63,1027.85,2.36,3.53,4.22,4.51,927.96,689.72,"1,144.03",601.57,3926233,4511147,1109515,4667537
compas,sex,SVC,"901,608","810,231","716,485","796,305","318,008","243,874","13,161","286,440",35.41,29.94,1.83,35.98,1000000,1000000,716496,1000200,98392,189769,11,203895,9.84,18.98,0,20.39,481.13,459.51,3300.96,462.25,8.3,10.31,274.34,9.46,659.87,529.76,3.99,619.68,2000000,2000000,265549,2000400
credit,age,SVC,"971,995","881,679","1,001,900","875,676","617,617","450,677","794,503","415,638",63.58,51.12,79.30,47.49,1000000,1000000,1001911,1000200,28005,118321,11,124524,2.8,11.83,0,12.45,652.1,702.07,345.36,720.44,126.75,3.89,4.36,5.7,985.97,642.02,"2,301.44",576.91,5422448,6127706,1400056,6241222
credit,sex,SVC,"938,965","852,421","67,859","854,246","122,886","88,566","2,647","89,732",13.14,10.39,3.47,10.53,1000000,1000000,67859,1000200,61035,147579,0,145954,6.1,14.76,0,14.59,273.82,252.52,3300.2,256.4,33.03,12.88,2288.26,9.46,447.37,350.85,0.80,349.94,2000000,2000000,23864,2000400
meps,sex,SVC,"986,497","966,286","307,823","961,960","243,792","148,536","13,449","150,938",24.71,15.38,4.34,15.71,1000000,1000000,307823,1000200,13503,33714,0,38240,1.35,3.37,0,3.82,623.74,596.28,3301.09,601.29,2.9,8.03,249.23,9.07,390.85,249.13,4.07,251.04,2000000,2000000,179607,2000400
,,,"967,434","913,100","728,056","904,376","505,741","392,486","331,933","372,898",51.96,43.06,34.22,41.60,1000000,1000000,731726.55,1000200,32566.45,86900.36,3670.09,95824,3.26,8.69,0.37,9.58,1153.64,1252.44,1936.05,1278.12,20.08,10.47,299.67,11.74,519.16,375.54,671.84,356.05,3675672.76,4129591.36,1045311.64,4188636.77
