dataset_name,sensitive_name,classifier_name,tot_inputs_aFairPHS,tot_inputs_bFairESTEO,tot_inputs_cAFT,tot_inputs_dFairPES,disc_inputs_aFairPHS,disc_inputs_bFairESTEO,disc_inputs_cAFT,disc_inputs_dFairPES,disc_rate_aFairPHS,disc_rate_bFairESTEO,disc_rate_cAFT,disc_rate_dFairPES,total_generated_aFairPHS,total_generated_bFairESTEO,total_generated_cAFT,total_generated_dFairPES,duplicates_aFairPHS,duplicates_bFairESTEO,duplicates_cAFT,duplicates_dFairPES,duplication_rate_aFairPHS,duplication_rate_bFairESTEO,duplication_rate_cAFT,duplication_rate_dFairPES,elapsed_time_aFairPHS,elapsed_time_bFairESTEO,elapsed_time_cAFT,elapsed_time_dFairPES,time_to_1000_disc_aFairPHS,time_to_1000_disc_bFairESTEO,time_to_1000_disc_cAFT,time_to_1000_disc_dFairPES,egs_aFairPHS,egs_bFairESTEO,egs_cAFT,egs_dFairPES,inference_count_aFairPHS,inference_count_bFairESTEO,inference_count_cAFT,inference_count_dFairPES
bank,age,DecisionTreeClassifier,981064,948827,1009647,939731,920359,828951,861792,815000,93.81,87.37,85.35,86.73,1000000,1000000,1009647,1000200,18936,51173,0,60469,1.89,5.12,0,6.05,466.34,468.25,148.89,446.7,0.84,0.93,2.03,0.91,1979.71,1785.34,5860.13,1828.46,5209591,5398222,1029855,5224083.5
bank,age,RandomForestClassifier,238265,219900,956877,216648,209526,190429,833039,184806,87.93,86.61,86.81,85.31,242875,230067,956877,228100,4610,10167,1,11452,1.9,4.43,0,5.02,3302.18,3303.13,3077.74,3302.87,28.56,28.93,29.98,29.34,63.45,57.65,273.02,55.95,1204263.12,1194584,1066138,1205950.5
bank,age,SVC,979495,961826,1002984,957967,737276,519575,664411,511362,75.21,54.02,66.21,53.38,1000000,1000000,1002987,1000200,20505,38174,3,42233,2.05,3.82,0,4.22,2046.42,2389.7,1001,2418.04,4.78,12.49,9.78,12.16,368.09,217.44,708.34,211.61,5540052.75,6607570,2171389,6648513
bank,age,Sequential,226821,186087,334886,169880,206479,129827,100942,111806,90.94,69.63,30.14,65.71,231250,196267,334886,180300,4429,10180,0,10420,1.92,5.15,0,5.78,3302.28,3303.78,3312.13,3304.21,33.38,65.34,72.42,81.81,62.53,39.3,30.48,33.84,1102019.62,1098226,1053192,1106385.25
bank,marital,DecisionTreeClassifier,983000,954381,1007087,948318,936035,857141,861825,844354,95.22,89.81,85.57,89.04,1000000,1000000,1007087,1000200,17000,45619,0,51882,1.7,4.56,0,5.19,247.57,226.65,133.79,229.14,0.39,0.44,0.92,0.46,3796.27,3782.53,6443.89,3684.98,2374145.5,2402257,611092,2390008.25
bank,marital,RandomForestClassifier,498583,429048,1001216,446885,402924,328614,348104,328406,80.73,76.57,34.77,73.49,510825,451333,1001216,473300,12242,22286,0,26415,2.4,4.93,0,5.58,3302.02,3303.1,2648,3302.34,16.31,16.75,25.54,18.59,122.02,99.49,131.49,99.45,1203430,1177098,875908,1209484.5
bank,marital,SVC,968776,952422,1001593,946626,495324,449728,197435,417290,51.07,47.22,19.71,44.08,1000000,1000000,1001593,1000200,31224,47578,0,53574,3.12,4.76,0,5.36,1015.85,1028.85,1097.78,1038.55,3.84,6.53,14.02,8.64,491.8,437.16,181.64,401.9,2668297.62,2766655,920056,2773707.5
bank,marital,Sequential,407066,377608,948133,369911,242205,189741,125042,166428,59.49,50.25,13.19,44.99,418300,406733,948133,396800,11234,29125,0,26889,2.68,7.16,0,6.77,3301.94,3302.12,3305.88,3302,23.04,42.9,50.97,46.74,73.35,57.46,37.82,50.4,1093846.38,1094978,936329,1101102
census,age,DecisionTreeClassifier,996803,976298,1009099,974630,990585,942341,927027,947645,99.38,96.52,91.87,97.23,1000000,1000000,1009099,1000200,3197,23702,1,25570,0.32,2.37,0,2.56,222.94,235.37,118.08,229.66,0.33,0.43,0.9,0.37,4444.01,4021.33,7897.94,4127.47,2090651.5,2562269,864334,2415716
census,age,RandomForestClassifier,534682,491369,1008891,476398,524080,472554,978637,458176,98.02,96.17,97,96.18,536725,503667,1008892,489700,2043,12297,1,13302,0.38,2.44,0,2.72,3302.19,3302.94,1957.63,3302.27,12.1,15.9,34.71,18.27,158.71,143.07,499.95,138.75,1202283.12,1193716,713113,1210065
census,age,SVC,992404,970094,1000237,965227,797055,587600,465066,576379,80.32,60.57,46.5,59.71,1000000,1000000,1000237,1000200,7596,29906,0,34973,0.76,2.99,0,3.5,2427.93,2888.25,1575.1,2907.64,6.41,12.67,11.94,15.74,328.49,203.52,295.45,198.47,5108084.88,6219217,2654149,6209289
census,age,Sequential,239455,216074,548943,208531,220033,177136,378735,165152,91.88,81.98,68.81,79.22,240575,223067,548943,216900,1120,6993,0,8369,0.47,3.13,0,3.85,3301.89,3302.9,3305.39,3305.03,30.41,50.89,41.79,49.76,66.64,53.63,114.59,49.97,1091363.62,1091517,1066797,1109345
census,race,DecisionTreeClassifier,992337,966683,1001555,962674,846136,754022,464925,755284,85.26,78,46.42,78.46,1000000,1000000,1001555,1000200,7663,33317,0,37526,0.77,3.33,0,3.75,325.25,339.07,191.97,339.71,1.08,1.48,5.72,1.35,2613.37,2225.36,2451.56,2229.3,3376694.38,3868480,1304061,3850027.75
census,race,RandomForestClassifier,365089,319479,773324,310192,266088,215267,311687,202072,72,67.31,38.96,65.07,370500,332267,773402,325300,5411,12788,78,15108,1.48,3.85,0.01,4.63,3302.03,3302.38,3303.9,3302.22,28.26,48.48,52.48,51.54,80.58,65.18,94.34,61.19,1205689.5,1192040,1108199,1219258.5
census,race,SVC,979777,954627,922482,948808,287300,252737,54781,225595,29.34,26.47,5.95,23.77,1000000,1000000,922482,1000200,20223,45373,0,51392,2.02,4.54,0,5.14,2102.26,2095.54,3240.03,2148.04,18.93,23.31,137.44,30.52,136.87,120.77,16.95,105.09,4426219.5,4464900,1729560,4566855.75
census,race,Sequential,297336,287054,537921,268621,202132,185664,76450,165374,67.7,64.68,14.22,61.57,300600,296333,537921,278900,3264,9280,0,10279,1.09,3.13,0,3.69,3302.12,3302.02,3304.17,3302.95,31.99,60.23,87.59,69.38,61.21,56.23,23.14,50.07,1092136.75,1089017,983751,1100840.5
census,sex,DecisionTreeClassifier,991504,971144,1003285,966522,838166,809725,705417,819238,84.52,83.37,70.31,84.76,1000000,1000000,1003285,1000200,8496,28856,0,33678,0.85,2.89,0,3.37,213.94,198.49,103.22,196.09,0.43,0.52,1.61,0.54,3917.59,4085.63,6886.65,4178.51,2000000,2000000,501125,2000400
census,sex,RandomForestClassifier,593676,588977,1003235,579382,500283,455321,711937,408994,84.17,77.31,70.97,70.59,599600,607333,1003237,603000,5924,18356,3,23618,0.99,3.02,0,3.91,3302.07,3302.55,1494.11,3302.01,12.41,18.87,21.22,20.47,151.5,137.87,476.63,123.86,1199200,1180800,501310,1206000
census,sex,SVC,962140,943004,22439,953439,208024,176062,420,172266,21.64,18.67,1.87,18.07,1000000,1000000,22439,1000200,37860,56996,0,46761,3.79,5.7,0,4.68,981.93,952.67,3301.08,962.17,10.94,17.21,,19.15,211.78,184.93,0.13,179.04,2000000,2000000,4050,2000400
census,sex,Sequential,533162,537642,866659,524282,262706,240364,78550,227700,49.22,44.71,9.07,43.43,541550,558800,866659,546500,8388,21158,0,22218,1.55,3.79,0,4.07,3301.58,3302.05,3256.88,3302.39,21.81,32,175.88,38.66,79.57,72.79,24.22,68.95,1083100,1087200,406115,1093000
compas,age,DecisionTreeClassifier,984010,893700,1008179,868621,875599,818026,956216,784371,88.98,91.53,94.85,90.3,1000000,1000000,1008333,1000200,15990,106300,154,131579,1.6,10.63,0.02,13.16,387.73,375.61,95.38,386.62,0.58,0.65,0.98,0.62,2265.64,2187.29,10055.13,2042.12,4193982.57,4786172,739285,4440865
compas,age,RandomForestClassifier,270972,221648,994512,199801,202738,177531,934325,156094,74.85,80.21,93.95,78.21,278767,252200,1008024,237000,7794,30552,13512,37199,2.8,12.15,1.34,15.76,3301.84,3302.28,2232.95,3302.66,37.38,51.7,39.8,55.25,61.4,53.76,419.04,47.26,1212110.33,1200928,846188,1215311.25
compas,age,SVC,981712,875633,996116,853681,905774,722517,917492,638433,92.27,82.51,92.11,74.78,1000000,1000000,1004641,1000200,18288,124367,8525,146519,1.83,12.44,0.85,14.65,1190.29,1429.11,337.32,1516.67,2.65,4.33,3.12,4.74,761.67,505.64,2733.36,421.28,5341064.6,6728310,1040633,6966280.25
compas,age,Sequential,233065,203512,968135,197718,211050,179344,883771,171189,90.55,88.11,91.21,86.61,237080,227867,984981,228200,4015,24355,16845,30482,1.69,10.71,1.68,13.36,3302.15,3303.21,3095.68,3301.68,29.59,43.13,46.82,48.26,63.91,54.29,286.65,51.85,1098333.4,1107589,982584,1100593.5
compas,race,DecisionTreeClassifier,988024,901622,1008864,869234,945379,856737,959785,828600,95.68,95.02,95.13,95.33,1000000,1000000,1009168,1000200,11976,98378,304,130966,1.2,9.84,0.03,13.09,320.66,305.5,79.24,314.45,0.46,0.47,0.94,0.45,2950.18,2807.72,12120.24,2636.48,3281441.57,3467226,621476,3470317.75
compas,race,RandomForestClassifier,389287,342818,1007996,307382,340021,317316,979813,282195,87.34,92.56,97.2,91.84,396840,387400,1008395,359000,7553,44582,399,51618,1.9,11.51,0.04,14.39,3301.64,3302.67,1756.81,3302.93,14.7,26.48,25.6,26.68,102.99,96.08,558.05,85.44,1207488.4,1183188,649272,1212761.5
compas,race,SVC,978400,875873,968703,834201,830096,677476,527900,617804,84.84,77.35,55.1,74.06,1000000,1000000,1000524,1000200,21600,124127,31821,165999,2.16,12.41,3.18,16.6,894.55,982.37,496.63,1027.85,2.36,3.53,4.22,4.51,927.96,689.72,1144.03,601.57,3926233,4511147,1109515,4667537
compas,race,Sequential,250498,231364,500760,204614,162720,166101,141584,132914,64.96,71.79,28.23,64.96,257160,262720,500773,240800,6662,31356,12,36186,2.59,11.94,0,15.03,3301.79,3302.47,3310.02,3304.09,38.42,52.21,61.13,46.84,49.28,50.3,42.77,40.23,1100780.4,1106009,1039877,1104638.5
compas,sex,DecisionTreeClassifier,979858,894641,1008907,866358,808345,791512,948399,761043,82.5,88.48,94,87.85,1000000,1000000,1009311,1000200,20142,105359,403,133842,2.01,10.54,0.04,13.38,215.53,197.81,66.05,197.38,0.36,0.41,0.65,0.43,3752.04,4002.09,14359.37,3855.83,2000000,2000000,508394,2000400
compas,sex,RandomForestClassifier,577656,532840,995675,508986,383744,433530,785647,384146,66.45,81.36,78.87,75.43,600971,605000,1004175,605900,23315,72160,8500,96914,3.88,11.93,0.85,16,3301.92,3302.65,1439.03,3301.87,15.37,18.08,26.53,22.74,116.22,131.27,547.27,116.34,1201942.86,1193600,501682,1211800
compas,sex,SVC,901608,810231,716485,796305,318008,243874,13161,286440,35.41,29.94,1.83,35.98,1000000,1000000,716496,1000200,98392,189769,11,203895,9.84,18.98,0,20.39,481.13,459.51,3300.96,462.25,8.3,10.31,274.34,9.46,659.87,529.76,3.99,619.68,2000000,2000000,265549,2000400
compas,sex,Sequential,527006,485325,1000482,462383,304334,317641,298435,292086,57.75,65.45,29.83,63.17,544680,553467,1001004,548600,17674,68142,522,86217,3.24,12.31,0.05,15.72,3301.79,3302.27,1938.42,3302.28,15.42,19.43,40.16,24.9,92.17,96.19,153.85,88.45,1089360,1088800,500936,1097200
credit,age,DecisionTreeClassifier,974176,882497,1002152,863452,802087,800538,896471,779482,82.33,90.71,89.46,90.28,1000000,1000000,1002156,1000200,25824,117503,4,136748,2.58,11.75,0,13.67,472.14,445.64,103.96,468.03,0.77,0.9,0.92,0.94,1699.51,1803.41,8637.81,1674.68,5231013,5251790,861305,5441173.75
credit,age,RandomForestClassifier,224529,186616,571152,167953,183619,165459,308323,144601,81.61,88.66,53.95,86.1,232080,215000,571152,200700,7551,28384,0,32747,3.27,13.2,0,16.37,3301.62,3303.86,3308.36,3304.86,29.7,33.29,36.24,35.86,55.61,50.08,93.2,43.75,1209431.4,1194350,1177733,1224114.25
credit,age,SVC,971995,881679,1001900,875676,617617,450677,794503,415638,63.58,51.12,79.3,47.49,1000000,1000000,1001911,1000200,28005,118321,11,124524,2.8,11.83,0,12.45,652.1,702.07,345.36,720.44,126.75,3.89,4.36,5.7,985.97,642.02,2301.44,576.91,5422448,6127706,1400056,6241222
