dataset_name,sensitive_name,classifier_name,tot_inputs_aFairSIFT,tot_inputs_bAFT,tot_inputs_cExpGA2,tot_inputs_dSBFT2,disc_inputs_aFairSIFT,disc_inputs_bAFT,disc_inputs_cExpGA2,disc_inputs_dSBFT2,disc_rate_aFairSIFT,disc_rate_bAFT,disc_rate_cExpGA2,disc_rate_dSBFT2,total_generated_aFairSIFT,total_generated_bAFT,total_generated_cExpGA2,total_generated_dSBFT2,duplicates_aFairSIFT,duplicates_bAFT,duplicates_cExpGA2,duplicates_dSBFT2,duplication_rate_aFairSIFT,duplication_rate_bAFT,duplication_rate_cExpGA2,duplication_rate_dSBFT2,elapsed_time_aFairSIFT,elapsed_time_bAFT,elapsed_time_cExpGA2,elapsed_time_dSBFT2,time_to_1000_disc_aFairSIFT,time_to_1000_disc_bAFT,time_to_1000_disc_cExpGA2,time_to_1000_disc_dSBFT2,egs_aFairSIFT,egs_bAFT,egs_cExpGA2,egs_dSBFT2,inference_count_aFairSIFT,inference_count_bAFT,inference_count_cExpGA2,inference_count_dSBFT2,IGR_aFairSIFT,IGR_bAFT,IGR_cExpGA2,IGR_dSBFT2
bank,age,DecisionTreeClassifier,"981,192","1,009,647","526,358","769,159","917,023","861,792","438,360","327,343",93.46,85.35,83.28,42.56,1000000,1009647,1000004,1000090,18808,0,473646,230931,1.88,0.00,47.36,23.09,43.57,148.89,107.02,114.98,0.06,2.03,1.51,0.38,"21,042.88","5,860.13","4,096.15","2,856.54","5,000","1,029,855","4,999","238,483",183.40,0.84,87.69,1.37
bank,marital,DecisionTreeClassifier,"982,894","1,007,087","525,720","769,112","934,528","861,825","432,944","396,928",95.08,85.57,82.35,51.61,1000000,1007087,1000070,1000090,17106,0,474350,230978,1.71,0.00,47.43,23.10,43.21,133.79,107.38,114.39,0.07,0.92,2.88,0.37,"21,628.24","6,443.89","4,032.11","3,477.80","5,000","611,092","4,997","238,483",186.91,1.41,86.64,1.66
census,age,DecisionTreeClassifier,"996,829","1,009,099","567,199","806,477","990,763","927,027","537,538","566,107",99.39,91.87,94.77,70.20,1000000,1009099,1000001,1000060,3171,1,432802,193583,0.32,0.00,43.28,19.36,43.21,118.08,118.74,107.14,0.05,0.9,1.26,0.18,"22,935.97","7,897.94","4,527.98","5,293.18","5,000","864,334","4,999","201,625",198.15,1.07,107.53,2.81
census,race,DecisionTreeClassifier,"991,706","1,001,555","551,525","710,990","847,835","464,925","377,541","266,382",85.49,46.42,68.45,37.18,1000000,1001555,1000007,1000060,8294,0,448482,289070,0.83,0.00,44.85,28.91,42.19,191.97,163.86,107.44,0.07,5.72,5.42,0.89,"20,095.47","2,451.56","2,308.94","2,478.45","5,000","1,304,061","10,351","201,625",169.57,0.36,36.47,1.32
census,sex,DecisionTreeClassifier,"992,742","1,003,285","556,211","797,767","858,285","705,417","418,018","369,281",86.46,70.31,75.15,46.27,1000000,1003285,1000126,1000060,7258,0,443915,202293,0.73,0.00,44.39,20.23,42.03,103.22,101.52,106.27,0.08,1.61,3.04,0.6,"20,421.81","6,886.65","4,119.14","3,482.88","5,000","501,125","4,997","201,625",171.66,1.41,83.65,1.83
compas,age,DecisionTreeClassifier,"983,870","1,008,179","523,342","793,059","875,232","956,216","475,200","493,709",88.96,94.85,90.80,62.25,1000000,1008333,1000008,1000062,16130,154,476666,207003,1.61,0.02,47.67,20.70,42.61,95.38,108.85,112.47,0.06,0.98,1.28,0.23,"20,542.68","10,055.13","4,367.25","4,400.98","5,000","739,285","4,999","214,299",175.05,1.29,95.06,2.30
compas,race,DecisionTreeClassifier,"987,902","1,008,864","527,326","793,224","945,218","959,785","476,392","579,877",95.68,95.13,90.34,73.10,1000000,1009168,1000059,1000062,12098,304,472733,206838,1.21,0.03,47.27,20.68,42.95,79.24,108.94,111.96,0.06,0.94,1.57,0.19,"22,008.63","12,120.24","4,374.07","5,190.64","5,000","621,476","4,998","214,299",189.04,1.54,95.32,2.71
compas,sex,DecisionTreeClassifier,"979,885","1,008,907","515,670","788,063","809,041","948,399","433,209","420,856",82.56,94.00,84.01,53.40,1000000,1009311,1000076,1000062,20115,403,484407,211999,2.01,0.04,48.44,21.20,42.63,66.05,116.74,110.78,0.07,0.65,5.55,0.34,"18,977.26","14,359.37","3,718.16","3,806.45","5,000","508,394","5,389","214,299",161.81,1.87,80.39,1.96
credit,age,DecisionTreeClassifier,"974,104","1,002,152","564,970","724,085","802,319","896,471","505,040","450,540",82.36,89.46,89.39,62.22,1000000,1002156,1000059,1000086,25896,4,435089,276001,2.59,0.00,43.51,27.60,43.6,103.96,136.6,123.39,0.06,0.92,2.87,0.29,"18,401.87","8,637.81","3,697.26","3,665.49","5,000","861,305","4,998","282,633",160.46,1.04,101.04,1.59
credit,sex,DecisionTreeClassifier,"967,235","1,003,143","558,364","486,798","874,949","825,085","404,213","94,712",90.45,82.24,72.39,19.38,1000000,1003145,1000092,1000086,32765,1,441729,513288,3.28,0.00,44.17,51.32,44.45,96.65,107.58,123.06,0.3,4.17,3.41,1.07,"19,689.88","8,599.70","3,757.45",770.42,"5,000","501,041","4,997","282,633",174.99,1.65,80.89,0.34
