dataset_name,sensitive_name,classifier_name,tot_inputs_aFairSIFT,tot_inputs_bAFT,tot_inputs_cExpGA2,tot_inputs_dSBFT2,disc_inputs_aFairSIFT,disc_inputs_bAFT,disc_inputs_cExpGA2,disc_inputs_dSBFT2,disc_rate_aFairSIFT,disc_rate_bAFT,disc_rate_cExpGA2,disc_rate_dSBFT2,total_generated_aFairSIFT,total_generated_bAFT,total_generated_cExpGA2,total_generated_dSBFT2,duplicates_aFairSIFT,duplicates_bAFT,duplicates_cExpGA2,duplicates_dSBFT2,duplication_rate_aFairSIFT,duplication_rate_bAFT,duplication_rate_cExpGA2,duplication_rate_dSBFT2,elapsed_time_aFairSIFT,elapsed_time_bAFT,elapsed_time_cExpGA2,elapsed_time_dSBFT2,time_to_1000_disc_aFairSIFT,time_to_1000_disc_bAFT,time_to_1000_disc_cExpGA2,time_to_1000_disc_dSBFT2,egs_aFairSIFT,egs_bAFT,egs_cExpGA2,egs_dSBFT2,inference_count_aFairSIFT,inference_count_bAFT,inference_count_cExpGA2,inference_count_dSBFT2,IGR_aFairSIFT,IGR_bAFT,IGR_cExpGA2,IGR_dSBFT2
bank,age,RandomForestClassifier,"980,695","956,877","525,315","769,147","869,087","833,039","428,925","408,694",88.62,86.81,81.65,53.14,1000000,956877,1000012,1000090,19305,1,474697,230943,1.93,0.00,47.47,23.09,85.11,3077.74,150.8,789.47,0.18,29.98,11.7,2.03,"10,216.25",273.02,"2,845.21",517.80,"5,000","1,066,138","4,999","238,483",173.82,0.78,85.80,1.71
bank,marital,RandomForestClassifier,"974,682","1,001,216","521,650","768,892","795,627","348,104","351,973","287,793",81.63,34.77,67.47,37.43,1000000,1001216,1000062,1000090,25318,0,478412,231198,2.53,0.00,47.84,23.12,65.70,2648,133.56,764.58,0.16,25.54,22.92,3.83,"12,111.01",131.49,"2,635.74",376.54,"5,000","875,908","4,997","238,483",159.13,0.40,70.43,1.21
census,age,RandomForestClassifier,"995,906","1,008,891","566,836","806,447","977,285","978,637","507,011","522,041",98.13,97.00,89.45,64.73,1000000,1008892,1000001,1000060,4094,1,433165,193613,0.41,0.00,43.32,19.36,68.98,1957.63,157.63,652.9,0.1,34.71,9.32,1.26,"14,167.65",499.95,"3,216.54",799.80,"5,000","713,113","4,999","201,625",195.46,1.37,101.42,2.59
census,race,RandomForestClassifier,"985,231","773,324","541,618","571,280","703,128","311,687","274,055","103,921",71.36,38.96,50.60,17.79,1000000,773402,1000061,1000060,14769,78,458443,428780,1.48,0.01,45.84,42.88,61.07,3303.9,216.53,648.36,0.2,52.48,45.54,9.93,"11,508.18",94.34,"1,269.41",160.13,"5,000","1,108,199","11,455","201,625",140.63,0.28,23.92,0.52
census,sex,RandomForestClassifier,"987,071","1,003,235","556,866","659,850","806,563","711,937","328,222","198,910",81.70,70.97,58.92,29.63,1000000,1003237,1000052,1000060,12929,3,443186,340210,1.29,0.00,44.32,34.02,58.54,1494.11,117.79,642.02,0.14,21.22,19.01,6.96,"13,771.65",476.63,"2,784.54",309.87,"5,000","501,310","4,997","201,625",161.31,1.42,65.68,0.99
compas,age,RandomForestClassifier,"969,549","994,512","510,671","650,484","724,937","934,325","349,971","194,343",74.77,93.95,68.54,29.87,1000000,1008024,1000024,1000062,30451,13512,489353,349578,3.05,1.34,48.93,34.96,70.92,2232.95,122.21,693.56,0.16,39.8,10.39,4.53,"10,230.16",419.04,"2,864.38",280.37,"5,000","846,188","4,999","214,299",144.99,1.10,70.01,0.91
compas,race,RandomForestClassifier,"980,999","1,007,996","520,394","783,355","858,122","979,813","427,297","418,034",87.47,97.20,82.11,53.36,1000000,1008395,1000070,1000062,19001,399,479676,216707,1.90,0.04,47.96,21.67,65.71,1756.81,131.07,690.4,0.1,25.6,12.44,1.97,"13,058.75",558.05,"3,261.00",605.64,"5,000","649,272","4,998","214,299",171.62,1.51,85.49,1.95
compas,sex,RandomForestClassifier,"949,255","995,675","502,264","516,624","611,217","785,647","292,605","68,983",64.31,78.87,58.22,13.35,1000000,1004175,1000113,1000062,50745,8500,497849,483438,5.07,0.85,49.78,48.34,58.71,1439.03,140.99,680.79,0.17,26.53,43.38,5.39,"10,433.36",547.27,"2,075.40",101.30,"5,000","501,682","5,041","214,299",122.24,1.57,58.05,0.32
credit,age,RandomForestClassifier,"968,250","571,152","562,163","723,845","810,125","308,323","427,737","338,108",83.67,53.95,76.09,46.71,1000000,571152,1000049,1000086,31750,0,437886,276241,3.18,0.00,43.79,27.62,68.42,3308.36,161.86,881.4,0.13,36.24,13.08,3.09,"11,840.69",93.20,"2,653.24",383.68,"5,000","1,177,733","4,998","282,633",162.02,0.26,85.58,1.20
credit,sex,RandomForestClassifier,"954,675","1,001,317","552,478","605,756","625,858","156,409","290,607","142,044",65.56,15.62,52.60,23.44,1000000,1001317,1000059,1000086,45325,0,447582,394330,4.53,0.00,44.76,39.43,60.92,1746.8,108.82,870.29,0.43,26.58,8.43,10.23,"10,277.65",89.57,"2,670.45",163.24,"5,000","500,600","4,998","282,633",125.17,0.31,58.14,0.50
meps,sex,RandomForestClassifier,"986,515","1,001,320","765,039","559,796","722,512","142,851","441,214","166,040",73.24,14.27,57.67,29.66,1000000,1001320,1000027,1000004,13485,0,234988,440208,1.35,0.00,23.50,44.02,69.77,1739.08,166.21,1333.36,0.19,26.05,12.87,19.49,"10,357.39",82.14,"2,654.50",124.50,"5,000","500,319","4,998","443,822",144.50,0.29,88.28,0.37
,,,"975,712","937,774","556,845","674,134","773,133","590,070","374,511","258,992",79.13,62.03,67.57,36.28,1000000,939818.82,1000048.18,1000065.64,24288.36,2044.91,443203.36,325931.45,2.43,0.20,44.32,32.59,66.71,"2,245.86",146.13,786.10,0.18,31.34,19.01,6.25,"11,633.89",296.79,"2,630.04",347.53,"5,000","767,315","5,589","248,530",154.63,0.84,72.07,1.12
