dataset_name,sensitive_name,classifier_name,tot_inputs_aFairSIFT,tot_inputs_bAFT,tot_inputs_cExpGA2,tot_inputs_dSBFT2,disc_inputs_aFairSIFT,disc_inputs_bAFT,disc_inputs_cExpGA2,disc_inputs_dSBFT2,disc_rate_aFairSIFT,disc_rate_bAFT,disc_rate_cExpGA2,disc_rate_dSBFT2,total_generated_aFairSIFT,total_generated_bAFT,total_generated_cExpGA2,total_generated_dSBFT2,duplicates_aFairSIFT,duplicates_bAFT,duplicates_cExpGA2,duplicates_dSBFT2,duplication_rate_aFairSIFT,duplication_rate_bAFT,duplication_rate_cExpGA2,duplication_rate_dSBFT2,elapsed_time_aFairSIFT,elapsed_time_bAFT,elapsed_time_cExpGA2,elapsed_time_dSBFT2,time_to_1000_disc_aFairSIFT,time_to_1000_disc_bAFT,time_to_1000_disc_cExpGA2,time_to_1000_disc_dSBFT2,egs_aFairSIFT,egs_bAFT,egs_cExpGA2,egs_dSBFT2,inference_count_aFairSIFT,inference_count_bAFT,inference_count_cExpGA2,inference_count_dSBFT2,IGR_aFairSIFT,IGR_bAFT,IGR_cExpGA2,IGR_dSBFT2
bank,age,SVC,"981,316","1,002,984","515,556","714,753","778,322","664,411","351,335","291,520",79.31,66.21,68.15,40.78,1000000,1002987,1000009,1000090,18684,3,484453,285337,1.87,0.00,48.44,28.53,2259.91,1001,1510.81,2413.28,4.04,9.78,266.78,18.39,344.41,708.34,232.54,120.79,"5,000","2,171,389","4,999","238,483",155.66,0.31,70.28,1.22
bank,marital,SVC,"971,061","1,001,593","497,889","508,045","580,314","197,435","231,351","65,845",59.75,19.71,46.46,12.94,1000000,1001593,1000040,1000090,28939,0,502150,492045,2.89,0.00,50.21,49.20,772.24,1097.78,994.98,888.65,2.34,14.02,553.39,15.04,751.39,181.64,232.48,74.07,"5,000","920,056","4,997","238,483",116.06,0.21,46.30,0.28
census,age,SVC,"992,454","1,000,237","561,793","707,674","806,009","465,066","351,000","249,168",81.21,46.50,62.48,35.03,1000000,1000237,1000106,1000060,7546,0,438313,292386,0.75,0.00,43.83,29.24,3197.82,1575.1,2392.98,3251.5,6.48,11.94,544.57,26.78,252.05,295.45,146.68,76.63,"5,000","2,654,149","4,999","201,625",161.20,0.18,70.21,1.24
census,race,SVC,"978,592","922,482","454,013","486,582","302,935","54,781","91,388","11,713",30.95,5.95,20.10,2.41,1000000,922482,1000012,1000060,21408,0,545999,513478,2.14,0.00,54.60,51.34,1771.14,3240.03,2679.24,1856.56,12.01,137.44,1775.62,63.7,171.04,16.95,34.10,6.31,"5,000","1,729,560","24,179","201,625",60.59,0.03,3.78,0.06
census,sex,SVC,"964,503","22,439","509,095","472,663","220,675",420,"95,258","3,836",22.89,1.87,18.70,0.81,1000000,22439,1000106,1000060,35497,0,491011,527397,3.55,0.00,49.10,52.74,724.53,3301.08,1868.88,807.83,8.02,,1472.31,142.68,304.70,0.13,51.11,4.75,"5,000","4,050","4,995","201,625",44.14,0.10,19.07,0.02
compas,age,SVC,"982,826","996,116","524,171","707,366","887,927","917,492","377,878","266,729",90.34,92.11,72.09,37.69,1000000,1004641,1000032,1000062,17174,8525,475861,292696,1.72,0.85,47.58,29.27,1011.79,337.32,738.74,1368.52,1.87,3.12,130.59,7.01,877.58,"2,733.36",511.53,195.88,"5,000","1,040,633","4,999","214,299",177.59,0.88,75.59,1.24
compas,race,SVC,"979,141","968,703","515,938","599,448","828,721","527,900","323,069","138,718",84.64,55.10,62.62,23.13,1000000,1000524,1000107,1000062,20859,31821,484169,400614,2.09,3.18,48.41,40.06,687.05,496.63,591.49,814.33,1.42,4.22,171.82,6,"1,206.22","1,144.03",546.51,170.41,"5,000","1,109,515","4,998","214,299",165.74,0.48,64.64,0.65
compas,sex,SVC,"901,643","716,485","427,648","452,960","352,735","13,161","103,758","2,374",39.08,1.83,24.24,0.52,1000000,716496,1000042,1000062,98357,11,572394,547102,9.84,0.00,57.24,54.71,241.06,3300.96,500.93,375.55,3.34,274.34,361.21,148.76,"1,462.45",3.99,207.26,6.30,"5,000","265,549","4,996","214,299",70.55,0.05,20.77,0.01
credit,age,SVC,"971,151","1,001,900","556,489","476,905","646,655","794,503","390,107","85,924",66.60,79.30,70.10,17.97,1000000,1001911,1000061,1000086,28849,11,443572,523181,2.88,0.00,44.35,52.31,139.26,345.36,176.38,261.94,12.67,4.36,19.62,2.23,"4,639.08","2,301.44","2,211.98",329.69,"5,000","1,400,056","4,999","282,633",129.33,0.57,78.04,0.30
credit,sex,SVC,"931,031","67,859","446,753","423,117","112,038","2,647","43,019","2,649",12.03,3.47,9.52,0.63,1000000,67859,1000169,1000086,68969,0,553416,576969,6.90,0.00,55.33,57.69,63.78,3300.2,80.7,155.39,1.87,2288.26,29.47,46.99,"1,758.79",0.80,531.01,17.03,"5,000","23,864","4,998","282,633",22.41,0.11,8.61,0.01
