dataset_name,sensitive_name,classifier_name,tot_inputs_aFairSIFT,tot_inputs_bAFT,tot_inputs_cExpGA2,tot_inputs_dSBFT2,disc_inputs_aFairSIFT,disc_inputs_bAFT,disc_inputs_cExpGA2,disc_inputs_dSBFT2,disc_rate_aFairSIFT,disc_rate_bAFT,disc_rate_cExpGA2,disc_rate_dSBFT2,total_generated_aFairSIFT,total_generated_bAFT,total_generated_cExpGA2,total_generated_dSBFT2,duplicates_aFairSIFT,duplicates_bAFT,duplicates_cExpGA2,duplicates_dSBFT2,duplication_rate_aFairSIFT,duplication_rate_bAFT,duplication_rate_cExpGA2,duplication_rate_dSBFT2,elapsed_time_aFairSIFT,elapsed_time_bAFT,elapsed_time_cExpGA2,elapsed_time_dSBFT2,time_to_1000_disc_aFairSIFT,time_to_1000_disc_bAFT,time_to_1000_disc_cExpGA2,time_to_1000_disc_dSBFT2,egs_aFairSIFT,egs_bAFT,egs_cExpGA2,egs_dSBFT2,inference_count_aFairSIFT,inference_count_bAFT,inference_count_cExpGA2,inference_count_dSBFT2,IGR_aFairSIFT,IGR_bAFT,IGR_cExpGA2,IGR_dSBFT2
bank,age,DecisionTreeClassifier,981192.0,1009647.0,526358.0,769159.0,917023.0,861792.0,438360.0,327343.0,93.46,85.35,83.28,42.56,1000000.0,1009647.0,1000004.0,1000090.0,18808.0,0.0,473646.0,230931.0,1.88,0.0,47.36,23.09,43.57,148.89,107.02,114.98,0.06,2.03,1.51,0.38,21042.88,5860.13,4096.15,2856.54,5000.0,1029855.0,4999.0,238483.0,183.4,0.84,87.69,1.37
bank,age,LogisticRegression,962164.0,999046.0,526537.0,537811.0,432679.0,535800.0,288706.0,97503.0,44.97,53.67,54.87,18.12,1000000.0,1001299.0,1000012.0,1000090.0,37836.0,2253.0,473475.0,462279.0,3.78,0.22,47.35,46.22,42.11,327.61,79.67,113.86,0.13,4.01,1.45,1.45,10273.18,1634.73,3623.37,857.8,5000.0,2760574.0,4999.0,238483.0,86.54,0.19,57.75,0.41
bank,age,RandomForestClassifier,980695.0,956877.0,525315.0,769147.0,869087.0,833039.0,428925.0,408694.0,88.62,86.81,81.65,53.14,1000000.0,956877.0,1000012.0,1000090.0,19305.0,1.0,474697.0,230943.0,1.93,0.0,47.47,23.09,85.11,3077.74,150.8,789.47,0.18,29.98,11.7,2.03,10216.25,273.02,2845.21,517.8,5000.0,1066138.0,4999.0,238483.0,173.82,0.78,85.8,1.71
bank,age,SVC,981316.0,1002984.0,515556.0,714753.0,778322.0,664411.0,351335.0,291520.0,79.31,66.21,68.15,40.78,1000000.0,1002987.0,1000009.0,1000090.0,18684.0,3.0,484453.0,285337.0,1.87,0.0,48.44,28.53,2259.91,1001.0,1510.81,2413.28,4.04,9.78,266.78,18.39,344.41,708.34,232.54,120.79,5000.0,2171389.0,4999.0,238483.0,155.66,0.31,70.28,1.22
bank,age,Sequential,977819.0,334886.0,520980.0,726434.0,858090.0,100942.0,342664.0,273602.0,87.75,30.14,65.77,37.66,1000000.0,334886.0,1000015.0,1000090.0,22181.0,0.0,479035.0,273656.0,2.22,0.0,47.9,27.36,59.39,3312.13,112.78,828.35,0.28,72.42,2.68,5.39,14444.98,30.48,3038.49,330.32,5000.0,1053192.0,4999.0,238483.0,171.62,0.1,68.55,1.15
bank,marital,DecisionTreeClassifier,982894.0,1007087.0,525720.0,769112.0,934528.0,861825.0,432944.0,396928.0,95.08,85.57,82.35,51.61,1000000.0,1007087.0,1000070.0,1000090.0,17106.0,0.0,474350.0,230978.0,1.71,0.0,47.43,23.1,43.21,133.79,107.38,114.39,0.07,0.92,2.88,0.37,21628.24,6443.89,4032.11,3477.8,5000.0,611092.0,4997.2,238483.0,186.91,1.41,86.64,1.66
bank,marital,LogisticRegression,959604.0,1000917.0,519730.0,522365.0,429208.0,413865.0,272967.0,82986.0,44.73,41.35,52.54,15.89,1000000.0,1000921.0,1000122.0,1000090.0,40396.0,4.0,480392.0,477725.0,4.04,0.0,48.03,47.77,41.91,277.84,74.62,106.93,0.13,11.68,2.1,1.39,10241.7,1484.71,3658.41,778.4,5000.0,870071.0,4998.0,238483.0,85.84,0.48,54.62,0.35
bank,marital,RandomForestClassifier,974682.0,1001216.0,521650.0,768892.0,795627.0,348104.0,351973.0,287793.0,81.63,34.77,67.47,37.43,1000000.0,1001216.0,1000062.0,1000090.0,25318.0,0.0,478412.0,231198.0,2.53,0.0,47.84,23.12,65.7,2648.0,133.56,764.58,0.16,25.54,22.92,3.83,12111.01,131.49,2635.74,376.54,5000.0,875908.0,4997.2,238483.0,159.13,0.4,70.43,1.21
bank,marital,SVC,971061.0,1001593.0,497889.0,508045.0,580314.0,197435.0,231351.0,65845.0,59.75,19.71,46.46,12.94,1000000.0,1001593.0,1000040.0,1000090.0,28939.0,0.0,502150.0,492045.0,2.89,0.0,50.21,49.2,772.24,1097.78,994.98,888.65,2.34,14.02,553.39,15.04,751.39,181.64,232.48,74.07,5000.0,920056.0,4997.0,238483.0,116.06,0.21,46.3,0.28
bank,marital,Sequential,970024.0,948133.0,508961.0,529250.0,565607.0,125042.0,224258.0,73604.0,58.29,13.19,44.06,13.85,1000000.0,948133.0,1000006.0,1000090.0,29976.0,0.0,491045.0,470840.0,3.0,0.0,49.1,47.08,57.05,3305.88,89.38,827.18,0.15,50.97,4.8,11.09,9916.0,37.82,2508.77,88.96,5000.0,936329.0,4997.0,238483.0,113.12,0.13,44.88,0.31
census,age,DecisionTreeClassifier,996829.0,1009099.0,567199.0,806477.0,990763.0,927027.0,537538.0,566107.0,99.39,91.87,94.77,70.2,1000000.0,1009099.0,1000001.0,1000060.0,3171.0,1.0,432802.0,193583.0,0.32,0.0,43.28,19.36,43.21,118.08,118.74,107.14,0.05,0.9,1.26,0.18,22935.97,7897.94,4527.98,5293.18,5000.0,864334.0,4999.0,201625.0,198.15,1.07,107.53,2.81
census,age,LogisticRegression,994854.0,1000603.0,564188.0,806017.0,872975.0,909841.0,415177.0,388084.0,87.75,90.93,73.59,48.15,1000000.0,1000603.0,1000037.0,1000060.0,5146.0,0.0,435849.0,194043.0,0.51,0.0,43.58,19.4,43.86,276.32,100.83,107.74,0.07,0.71,1.36,0.39,19904.93,3305.48,4118.0,3611.38,5000.0,1164285.0,4999.0,201625.0,174.6,0.78,83.05,1.92
census,age,RandomForestClassifier,995906.0,1008891.0,566836.0,806447.0,977285.0,978637.0,507011.0,522041.0,98.13,97.0,89.45,64.73,1000000.0,1008892.0,1000001.0,1000060.0,4094.0,1.0,433165.0,193613.0,0.41,0.0,43.32,19.36,68.98,1957.63,157.63,652.9,0.1,34.71,9.32,1.26,14167.65,499.95,3216.54,799.8,5000.0,713113.0,4999.0,201625.0,195.46,1.37,101.42,2.59
census,age,SVC,992454.0,1000237.0,561793.0,707674.0,806009.0,465066.0,351000.0,249168.0,81.21,46.5,62.48,35.03,1000000.0,1000237.0,1000106.0,1000060.0,7546.0,0.0,438313.0,292386.0,0.75,0.0,43.83,29.24,3197.82,1575.1,2392.98,3251.5,6.48,11.94,544.57,26.78,252.05,295.45,146.68,76.63,5000.0,2654149.0,4999.0,201625.0,161.2,0.18,70.21,1.24
census,age,Sequential,994613.0,548943.0,563687.0,805555.0,927993.0,378735.0,403191.0,369372.0,93.3,68.81,71.53,45.85,1000000.0,548943.0,1000059.0,1000060.0,5387.0,0.0,436372.0,194505.0,0.54,0.0,43.63,19.45,58.96,3305.39,119.9,712.16,0.1,41.79,4.89,3.27,15739.61,114.59,3362.63,518.7,5000.0,1066797.0,4998.0,201625.0,185.6,0.36,80.67,1.83
census,race,DecisionTreeClassifier,991706.0,1001555.0,551525.0,710990.0,847835.0,464925.0,377541.0,266382.0,85.49,46.42,68.45,37.18,1000000.0,1001555.0,1000007.0,1000060.0,8294.0,0.0,448482.0,289070.0,0.83,0.0,44.85,28.91,42.19,191.97,163.86,107.44,0.07,5.72,5.42,0.89,20095.47,2451.56,2308.94,2478.45,5000.0,1304061.0,10350.8,201625.0,169.57,0.36,36.47,1.32
census,race,LogisticRegression,988283.0,1000993.0,448359.0,539254.0,410807.0,170927.0,137197.0,62256.0,41.57,17.08,30.6,11.54,1000000.0,1000993.0,1000004.0,1000060.0,11717.0,0.0,551645.0,460806.0,1.17,0.0,55.16,46.08,41.8,246.97,343.13,100.1,0.14,1.75,5.29,1.39,9826.96,692.03,400.42,624.16,5000.0,1803040.0,84482.8,201625.0,82.16,0.09,1.62,0.31
census,race,RandomForestClassifier,985231.0,773324.0,541618.0,571280.0,703128.0,311687.0,274055.0,103921.0,71.36,38.96,50.6,17.79,1000000.0,773402.0,1000061.0,1000060.0,14769.0,78.0,458443.0,428780.0,1.48,0.01,45.84,42.88,61.07,3303.9,216.53,648.36,0.2,52.48,45.54,9.93,11508.18,94.34,1269.41,160.13,5000.0,1108199.0,11454.8,201625.0,140.63,0.28,23.92,0.52
